audit_scope,domain,experiment_scope,value_head,seed,job_id,slurm_state,instance_number,instance_path,source_log,completion_ledger,source_result_ledger
supplementary_increasing_order,fo_counters,pw70_confirmation_stage1,off,2082152039,21039205,OUT_OF_MEMORY,14,instance_15.pddl,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039205_pw70-ten-fo_counters-off-2082152039-s1.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/.resume_state/21039205.eval_completed.jsonl,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_terminal_20260903.csv
supplementary_increasing_order,fo_counters,stage1_validation_selected_fixed_20_70,off,1963100312,20430072,OUT_OF_MEMORY,20,instance_21.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430072.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,on,1239739722,20430090,OUT_OF_MEMORY,13,pfile13,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430090_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401241_e0112.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430090.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,on,1239739722,20430090,OUT_OF_MEMORY,16,pfile16,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430090_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401241_e0112.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430090.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,on,1239739722,20430090,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430090_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401241_e0112.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430090.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,on,2082152039,20430093,OUT_OF_MEMORY,18,pfile18,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430093_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401244_e0077.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430093.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,on,1972442430,20430096,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430096_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401247_e0071.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430096.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,1963100312,20430097,OUT_OF_MEMORY,19,pfile19,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430097.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,2011206605,20430098,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430098.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,1073581256,20430099,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430099.eval_completed.jsonl,experiment_tracking/experiment_results.csv
