experiment_id,manifest_id,domain,value_head,seed,stage,checkpoint_selection,source_checkpoint,source_training_job_id,source_policy_job_id,snapshot_epoch,policy_score,policy_total,leaf_evaluator,use_estimator,rollout_horizon,width,iterations,puct,teacher,workers,cpus,memory_gib,time_limit,instance_timeout_seconds,code_commit,status
MCTS-LEAF-ALL6-EXT-20260920,block_grouping-on-1963100312-rollout,block_grouping,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:51.374189/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-2fc32f3/snapshots/snapshot_4_0.333",20401177,20424464,4,17,20,policy_rollout,0.0,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,block_grouping-on-1963100312-blend,block_grouping,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:51.374189/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-2fc32f3/snapshots/snapshot_4_0.333",20401177,20424464,4,17,20,value,0.5,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,block_grouping-on-2011206605-rollout,block_grouping,on,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:19.946299/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-067843/snapshots/snapshot_26_0.333",20401178,20424502,26,17,20,policy_rollout,0.0,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,block_grouping-on-2011206605-blend,block_grouping,on,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:19.946299/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-067843/snapshots/snapshot_26_0.333",20401178,20424502,26,17,20,value,0.5,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,rover-on-1963100312-rollout,rover,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.950033/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_70_0.625",20401238,20427194,70,4,20,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,rover-on-1963100312-blend,rover,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.950033/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_70_0.625",20401238,20427194,70,4,20,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,rover-on-2011206605-rollout,rover,on,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.949965/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_95_0.750",20401239,20427445,95,4,20,policy_rollout,0.0,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,rover-on-2011206605-blend,rover,on,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.949965/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_95_0.750",20401239,20427445,95,4,20,value,0.5,3,20,70,0.1,hmrp-ha-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,counters-on-1963100312-rollout,counters,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094315/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_204_1.000",20401268,20429486,204,3,59,policy_rollout,0.0,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-ALL6-EXT-20260920,counters-on-1963100312-blend,counters,on,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094315/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_204_1.000",20401268,20429486,204,3,59,value,0.5,3,5,20,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
