experiment_id,manifest_id,domain,value_head,seed,stage,source_checkpoint,source_training_job_id,snapshot_epoch,policy_score,leaf_evaluator,use_estimator,rollout_horizon,width,iterations,puct,teacher,workers,cpus,memory_gib,time_limit,instance_timeout_seconds,status
MCTS-LEAF-4ARM-20260920,drone-on-1963100312-rollout,drone,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.547361/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_1_0.000",20401197,1,2,policy_rollout,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-1963100312-learned-only,drone,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.547361/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_1_0.000",20401197,1,2,value,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-1963100312-enhsp-only,drone,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.547361/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_1_0.000",20401197,1,2,value,1.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-1963100312-blend,drone,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.547361/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_1_0.000",20401197,1,2,value,0.5,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-2011206605-rollout,drone,on,2011206605,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.540334/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_19_0.500",20401198,19,6,policy_rollout,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-2011206605-learned-only,drone,on,2011206605,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.540334/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_19_0.500",20401198,19,6,value,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-2011206605-enhsp-only,drone,on,2011206605,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.540334/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_19_0.500",20401198,19,6,value,1.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,drone-on-2011206605-blend,drone,on,2011206605,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:03.540334/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_19_0.500",20401198,19,6,value,0.5,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,fo_counters-on-1963100312-rollout,fo_counters,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.116765/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_11_1.000",20401218,11,4,policy_rollout,0.0,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
MCTS-LEAF-4ARM-20260920,fo_counters-on-1963100312-learned-only,fo_counters,on,1963100312,stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.116765/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_11_1.000",20401218,11,4,value,0.0,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,prepared_not_submitted
