experiment_id,manifest_id,domain,value_head,seed,stage,checkpoint_selection,source_checkpoint,source_training_job_id,source_policy_job_id,snapshot_epoch,policy_score,policy_total,arm,leaf_evaluator,use_estimator,rollout_horizon,width,iterations,puct,teacher,workers,cpus,memory_gib,time_limit,instance_timeout_seconds,code_commit,status
MCTS-LEAF-VHOFF6-20260920,block_grouping-off-1963100312-rollout,block_grouping,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",20401187,20424828,44,18,20,rollout,policy_rollout,0.0,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,block_grouping-off-1963100312-current,block_grouping,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",20401187,20424828,44,18,20,current,value,0.5,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,block_grouping-off-2011206605-rollout,block_grouping,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_40_0.250",20401188,20424847,40,15,20,rollout,policy_rollout,0.0,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,block_grouping-off-2011206605-current,block_grouping,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_40_0.250",20401188,20424847,40,15,20,current,value,0.5,3,5,20,0.1,hadd-gbfs,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,drone-off-1963100312-rollout,drone,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913251/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_157_0.375",20401207,20450747,157,11,20,rollout,policy_rollout,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,drone-off-1963100312-current,drone,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913251/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_157_0.375",20401207,20450747,157,11,20,current,value,0.5,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,drone-off-2011206605-rollout,drone,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913255/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_40_0.375",20401208,20425786,40,5,20,rollout,policy_rollout,0.0,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,drone-off-2011206605-current,drone,off,2011206605,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913255/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_40_0.375",20401208,20425786,40,5,20,current,value,0.5,3,20,70,0.1,hadd-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,fo_counters-off-1963100312-rollout,fo_counters,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750809/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_8_1.000",20401228,20426778,8,3,20,rollout,policy_rollout,0.0,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
MCTS-LEAF-VHOFF6-20260920,fo_counters-off-1963100312-current,fo_counters,off,1963100312,stage1,main_val_validation_selected,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750809/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_8_1.000",20401228,20426778,8,3,20,current,value,0.5,3,20,70,0.1,hmrmax-astar,3,6,120,3-00:00:00,21600,2b243a6e8f21723f99cfd84136770ad32d220ffa,prepared_not_submitted
