task_id,candidate_index,missing_stratum,outcome,success,first_divergence_observed,selector,q_argmax,u_argmax,q_plus_u_argmax,max_visit_tie_count,source_count
root-trace-block_grouping-off-fixed,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,True,False,False,2,1
root-trace-block_grouping-off-fixed,1,both_success,unknown,False,True,root_visit_argmax,False,False,False,2,1
root-trace-block_grouping-off-fixed,2,policy_failure_search_success,unknown,False,True,root_visit_argmax,True,False,True,1,1
root-trace-block_grouping-on-fixed,0,both_fail_outcome_only,hard_timeout,False,True,root_visit_argmax,True,False,True,1,1
root-trace-block_grouping-on-fixed,1,both_success,success,True,False,no_divergence,,,,,1
root-trace-block_grouping-on-fixed,2,policy_failure_search_success,success,True,True,goal_chase,True,False,True,1,1
root-trace-block_grouping-on-fixed,3,policy_success_search_failure,action_limit,False,True,root_visit_argmax,True,False,False,1,1
root-trace-counters-off-fixed,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,False,False,False,3,1
root-trace-counters-off-fixed,1,policy_failure_search_success,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-counters-on-fixed,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-counters-on-fixed,1,both_success,unknown,False,False,no_divergence,,,,,1
root-trace-counters-on-fixed,2,policy_failure_search_success,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-counters-on-fixed,3,policy_success_search_failure,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-drone-off-fixed,0,both_fail_outcome_only,hard_timeout,False,False,no_divergence,,,,,1
root-trace-drone-off-fixed,1,both_success,success,True,False,no_divergence,,,,,1
root-trace-drone-off-fixed,2,policy_failure_search_success,success,True,True,goal_chase,True,False,True,1,1
root-trace-drone-off-fixed,3,policy_success_search_failure,finished_unsolved,False,True,root_visit_argmax,True,False,False,1,1
root-trace-drone-on-fixed,0,both_fail_outcome_only,hard_timeout,False,False,no_divergence,,,,,1
root-trace-drone-on-fixed,1,both_success,success,True,False,no_divergence,,,,,1
root-trace-drone-on-fixed,2,policy_failure_search_success,success,True,True,root_visit_argmax,True,False,True,1,1
root-trace-drone-on-fixed,3,policy_success_search_failure,success,True,True,goal_chase,True,False,True,1,1
root-trace-fo_counters-off-fixed,0,both_fail_outcome_only,hard_timeout,False,True,root_visit_argmax,False,False,False,10,1
root-trace-fo_counters-off-fixed,1,both_success,success,True,True,goal_chase,False,True,False,1,1
root-trace-fo_counters-off-fixed,2,policy_failure_search_success,success,True,True,goal_chase,True,False,True,1,1
root-trace-fo_counters-off-pw,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-fo_counters-off-pw,1,both_success,success,True,True,goal_chase,False,True,False,1,1
root-trace-fo_counters-off-pw,2,policy_failure_search_success,success,True,True,goal_chase,True,False,True,1,1
root-trace-fo_counters-on-fixed,0,both_fail_outcome_only,hard_timeout,False,True,root_visit_argmax,True,False,True,1,1
root-trace-fo_counters-on-fixed,1,both_success,success,True,True,goal_chase,False,False,False,1,1
root-trace-fo_counters-on-fixed,2,policy_failure_search_success,success,True,True,root_visit_argmax,True,False,True,1,1
root-trace-fo_counters-on-pw,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-fo_counters-on-pw,1,both_success,unknown,False,False,no_divergence,,,,,1
root-trace-fo_counters-on-pw,2,policy_failure_search_success,unknown,False,True,root_visit_argmax,True,False,False,1,1
root-trace-rover-off-fixed,0,both_fail_outcome_only,unknown,False,True,root_visit_argmax,True,False,True,1,1
root-trace-rover-off-fixed,1,both_success,unknown,False,False,no_divergence,,,,,1
root-trace-rover-off-fixed,2,policy_failure_search_success,unknown,False,True,root_visit_argmax,False,False,False,1,1
root-trace-rover-on-fixed,0,both_fail_outcome_only,hard_timeout,False,True,root_visit_argmax,True,False,True,1,1
root-trace-rover-on-fixed,1,both_success,success,True,False,no_divergence,,,,,1
root-trace-rover-on-fixed,2,policy_failure_search_success,success,True,True,root_visit_argmax,True,False,True,1,1
