domain,stage,value_head,search_family,outcome_rows,policy_success_search_failure,both_fail_outcome_only,policy_failure_search_success,both_success,first_divergence_rows,local_n_q_u_prior_rows,observed_strata_missing_first_divergence,strata_without_local_outcomes,stage2_submission_policy,proposed_minimal_job
block_grouping,stage1_validation_selected,off,fixed,200,16,30,7,147,4,0,both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
block_grouping,stage1_validation_selected,off,pw,40,8,6,1,25,2,2,both_fail_outcome_only;policy_failure_search_success;both_success,,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
block_grouping,stage1_validation_selected,on,fixed,200,4,34,7,155,0,0,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
block_grouping,stage1_validation_selected,on,pw,40,9,4,2,25,2,2,both_fail_outcome_only;policy_failure_search_success;both_success,,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
counters,stage1_validation_selected,off,fixed,590,125,246,19,200,61,0,both_fail_outcome_only;policy_failure_search_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
counters,stage1_validation_selected,off,pw,84,0,42,6,36,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
counters,stage1_validation_selected,on,fixed,590,66,357,47,120,0,0,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
counters,stage1_validation_selected,on,pw,97,0,72,15,10,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
drone,stage1_validation_selected,off,fixed,200,3,128,13,56,0,0,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
drone,stage1_validation_selected,off,pw,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,diagnostic_only,wait for exact per-instance outcome join before selecting targets
drone,stage1_validation_selected,on,fixed,200,1,95,54,50,0,0,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
drone,stage1_validation_selected,on,pw,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,diagnostic_only,wait for exact per-instance outcome join before selecting targets
fo_counters,stage1_validation_selected,off,fixed,200,1,121,37,41,0,0,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
fo_counters,stage1_validation_selected,off,pw,59,0,38,10,11,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,optional PW compact-recorder task after fixed-search Stage 2; max four instances
fo_counters,stage1_validation_selected,on,fixed,200,0,143,20,37,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
fo_counters,stage1_validation_selected,on,pw,60,0,40,11,9,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,optional PW compact-recorder task after fixed-search Stage 2; max four instances
rover,stage1_validation_selected,off,fixed,200,0,150,10,40,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
rover,stage1_validation_selected,off,pw,60,0,46,2,12,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
rover,stage1_validation_selected,on,fixed,200,0,156,6,38,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,primary,one compact-recorder task (max one frozen instance per missing observed stratum)
rover,stage1_validation_selected,on,pw,60,0,47,3,10,0,0,both_fail_outcome_only;policy_failure_search_success;both_success,policy_success_search_failure,diagnostic_only,no new PW task at Stage 0; do not duplicate fixed-search campaign
mprime,stage1_validation_selected,off,fixed,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,primary,wait for exact per-instance outcome join before selecting targets
mprime,stage1_validation_selected,off,pw,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,diagnostic_only,wait for exact per-instance outcome join before selecting targets
mprime,stage1_validation_selected,on,fixed,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,primary,wait for exact per-instance outcome join before selecting targets
mprime,stage1_validation_selected,on,pw,0,0,0,0,0,0,0,,policy_success_search_failure;both_fail_outcome_only;policy_failure_search_success;both_success,diagnostic_only,wait for exact per-instance outcome join before selecting targets
