domain,stage,value_head,seed,checkpoint_identity,search_family,search_variant,tie_break,instance,outcome_stratum,first_divergence_decision,policy_action,search_action,network_argmax_action,root_visits,search_action_visits,policy_action_visits,search_action_q,policy_action_q,search_action_u,policy_action_u,search_action_prior,policy_action_prior,max_visit_tie_count,visit_entropy,policy_visit_js_divergence,terminal_cause,mechanism_label,local_root_evidence_level,policy_log,search_log,source_artifact,source_row
block_grouping,stage1_validation_selected,off,1963100312,src20401187_e0044,fixed,narrow_5x20,action_id,instance_100_20_5_1.pddl,policy_success_search_failure,410,move_block_down b4,move_block_down b12,14,,,,,,,,,,5,,,ordinary_10000_action_cap,clean_equal_max_tie,tie_summary_no_child_q_u,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/action_id/1963100312/21237401_0_action_id_1963100312.txt,experiment_tracking/block_grouping_tie_break_screen_20260913/trace_audit_summary_20260914.csv,2
block_grouping,stage1_validation_selected,off,1963100312,src20401187_e0044,fixed,narrow_5x20,action_id,instance_100_25_6_2.pddl,policy_success_search_failure,469,move_block_down b6,move_block_down b1,21,,,,,,,,,,5,,,ordinary_10000_action_cap,clean_equal_max_tie,tie_summary_no_child_q_u,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/action_id/1963100312/21237401_0_action_id_1963100312.txt,experiment_tracking/block_grouping_tie_break_screen_20260913/trace_audit_summary_20260914.csv,3
block_grouping,stage1_validation_selected,off,1963100312,src20401187_e0044,fixed,narrow_5x20,action_id,instance_11_40_10_1.pddl,policy_success_search_failure,499,,57,47,,,,,,,,,,,,,ordinary_10000_action_cap,tree_or_history_statistics_already_differed,tie_summary_no_child_q_u,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/action_id/1963100312/21237401_0_action_id_1963100312.txt,experiment_tracking/block_grouping_tie_break_screen_20260913/trace_audit_summary_20260914.csv,4
block_grouping,stage1_validation_selected,off,1963100312,src20401187_e0044,fixed,narrow_5x20,action_id,instance_5_25_6_1.pddl,policy_success_search_failure,1405,,52,50,,,,,,,,,,,,,ordinary_10000_action_cap,tree_or_history_statistics_already_differed,tie_summary_no_child_q_u,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-09-13/block_grouping_tie_break_screen/action_id/1963100312/21237401_0_action_id_1963100312.txt,experiment_tracking/block_grouping_tie_break_screen_20260913/trace_audit_summary_20260914.csv,5
block_grouping,stage1_validation_selected,off,1963100312,src20401187_e0044,pw,pw70_kmin3,action_id,instance_11_40_10_1.pddl,policy_success_search_failure,225,74,77,,117,46,35,0.059870713225514904,0.000003967340173733494,0.0010460591567253257,0.004411481793411678,0.04545285552740097,0.146822988986969,,,,six_hour_timeout,Q_favors_selected_U_favors_policy,selected_vs_policy_n_q_u_prior_full_children_in_remote_trace,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/off/1963100312/instance_11_40_10_1/21266847_0_off_1963100312_instance_11_40_10_1.txt,experiment_tracking/block_grouping_pw70_tie_trace_20260914/first_divergence_q_u_20260915.csv,2
block_grouping,stage1_validation_selected,off,2011206605,src20401188_e0040,pw,pw70_kmin3,action_id,instance_11_30_7_2.pddl,policy_success_search_failure,216,86,30,,105,33,19,0.02494966036179367,0.020986434036951742,0.0015766689404493374,0.0034764781324153754,0.05231482535600662,0.0678539052605629,,,,six_hour_timeout,Q_favors_selected_U_favors_policy,selected_vs_policy_n_q_u_prior_full_children_in_remote_trace,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424847_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0040.txt,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/off/2011206605/instance_11_30_7_2/21267923_1_off_2011206605_instance_11_30_7_2.txt,experiment_tracking/block_grouping_pw70_tie_trace_20260914/first_divergence_q_u_20260915.csv,3
block_grouping,stage1_validation_selected,on,1963100312,src20401177_e0004,pw,pw70_kmin3,action_id,instance_20_40_10_2.pddl,policy_success_search_failure,27,156,121,,198,47,42,0.12100100219249725,0.11983350991056514,0.0005035946635976855,0.0005693210952203049,0.017178678885102272,0.017397752031683922,,,,six_hour_timeout,Q_favors_selected_U_favors_policy,selected_vs_policy_n_q_u_prior_full_children_in_remote_trace,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424464_Ev_block_grouping_block_grouping_orig_vh_c.1_s1963100312_SR10P_src20401177_e0004.txt,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/on/1963100312/instance_20_40_10_2/21283849_2_on_1963100312_instance_20_40_10_2.txt,experiment_tracking/block_grouping_pw70_tie_trace_20260914/first_divergence_q_u_20260915.csv,4
block_grouping,stage1_validation_selected,on,2011206605,src20401178_e0026,pw,pw70_kmin3,action_id,instance_100_25_6_2.pddl,policy_success_search_failure,25,77,79,,145,28,27,0.10305948785425706,0.10305272484267201,0.0007608100480245506,0.0007879818354539988,0.01832273229956627,0.01832273229956627,,,,six_hour_timeout,near_equal_Q_U_and_one_visit_deficit,selected_vs_policy_n_q_u_prior_full_children_in_remote_trace,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424502_Ev_block_grouping_block_grouping_orig_vh_c.1_s2011206605_SR10P_src20401178_e0026.txt,/home/hersco/training_new_domains/2026-09-14/block_grouping_pw70_tie_trace/on/2011206605/instance_100_25_6_2/21266624_3_on_2011206605_instance_100_25_6_2.txt,experiment_tracking/block_grouping_pw70_tie_trace_20260914/first_divergence_q_u_20260915.csv,5
counters,stage1_validation_selected,off,2082152039,src20401264_e0012,fixed,narrow_5x20,action_id,fz_instance_10.pddl,both_success,1,,,,,,,,,,,,,,,,success,both_search_arms_succeed,trajectory_first_divergence_no_root_vector,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_pair_join.csv,69
counters,stage1_validation_selected,off,2082152039,src20401264_e0012,fixed,narrow_5x20,action_id,fz_instance_11.pddl,both_success,1,,,,,,,,,,,,,,,,success,both_search_arms_succeed,trajectory_first_divergence_no_root_vector,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429130_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20401264_e0012.txt,/home/hersco/training_new_domains/2026-09-13/counters_tie_break_strict_stage1/action_id/2082152039/21233925_9.completed.jsonl,experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_pair_join.csv,70
