domain,stage,value_head,seed,checkpoint_identity,search_family,search_variant,instance,policy_status,search_status,outcome_stratum,policy_steps,search_steps,search_elapsed_seconds,policy_log,search_log,source_artifact,source_row
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_100_20_5_1.pddl,unclassified,unsolved,both_fail_outcome_only,,10000,8391.19,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,42
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_100_25_6_2.pddl,unclassified,unsolved,both_fail_outcome_only,,10000,13928.64,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,43
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_11_10_2_3.pddl,success,success,both_success,39,39,32.08,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,44
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_11_30_7_2.pddl,success,unsolved,policy_success_search_failure,239,10000,2306.33,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,45
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_11_35_8_3.pddl,success,success,both_success,235,239,1107.96,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,46
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_11_40_10_1.pddl,success,success,both_success,277,277,1977.38,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,47
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_15_10_2_3.pddl,success,success,both_success,114,114,62.87,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,48
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_15_25_6_3.pddl,success,success,both_success,239,239,495.15,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,49
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_20_10_2_1.pddl,success,success,both_success,128,128,65.37,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,50
block_grouping,stage1_validation_selected,off,1073581256,src20401189_e0023,fixed,narrow_5x20,instance_20_10_2_3.pddl,success,success,both_success,167,169,81.64,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,51
