domain,stage,value_head,search_family,missing_stratum,candidate_seed,candidate_checkpoint_identity,candidate_instance,candidate_policy_log,candidate_search_log,candidate_source_artifact,reason,submission_group
block_grouping,stage1_validation_selected,off,fixed,both_fail_outcome_only,1073581256,src20401189_e0023,instance_100_20_5_1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:off:fixed
block_grouping,stage1_validation_selected,off,fixed,policy_failure_search_success,1073581256,src20401189_e0023,instance_25_15_3_1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:off:fixed
block_grouping,stage1_validation_selected,off,fixed,both_success,1073581256,src20401189_e0023,instance_11_10_2_3.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:off:fixed
block_grouping,stage1_validation_selected,on,fixed,policy_success_search_failure,1510771779,src20401184_e0088,instance_20_30_7_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424722_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0088.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430037_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401184_e0088.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:on:fixed
block_grouping,stage1_validation_selected,on,fixed,both_fail_outcome_only,1073581256,src20401179_e0011,instance_100_20_5_1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:on:fixed
block_grouping,stage1_validation_selected,on,fixed,policy_failure_search_success,1073581256,src20401179_e0011,instance_20_30_7_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:on:fixed
block_grouping,stage1_validation_selected,on,fixed,both_success,1073581256,src20401179_e0011,instance_11_10_2_3.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,block_grouping:on:fixed
counters,stage1_validation_selected,off,fixed,both_fail_outcome_only,1239739722,src20401261_e0005,fz_instance_19.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430116_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401261_e0005.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:off:fixed
counters,stage1_validation_selected,off,fixed,policy_failure_search_success,1510771779,src20401265_e0001,fz_instance_12.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430125_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401265_e0001.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:off:fixed
counters,stage1_validation_selected,on,fixed,policy_success_search_failure,1073581256,src20401270_e0042,fz_instance_23.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430136_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401270_e0042.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:on:fixed
