relative_artifact,resolved_path,sha256,data_rows,purpose
experiment_tracking/policy_mcts_instance_audit.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\experiment_tracking\policy_mcts_instance_audit.csv,31706a1e252958c20da6e073894146a9177435d7c4aed2262aa773a565d059d7,2780,primary Stage-1 fixed policy/search instance universe
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_instances_20260904.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\mcts_progressive_widening_cross_domain\pw70_followup_instances_20260904.csv,aad99cea2ff8197f6ec340187096d3392f30046961bab0d7098e4d97e63c1f72,476,Stage-1 PW70 Block Grouping/Counters classified instances
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\mcts_progressive_widening_cross_domain\pw70_confirmatory_instances_20260904.csv,c76e4ee787699bc475087d30bd74eb41a4c0299145b9a14659f779ff43cde2ec,538,Stage-1 PW70 FO Counters/Rover classified instances
experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_pair_join.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\counters_seed_divergence_audit_20260914\per_instance_pair_join.csv,e3cfe086e6a02d372c5d446c2fabc3aa5f83752309b3d3ad03641abfd4113429,94,Counters strict first-divergence timing and outcomes
experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_divergence.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\counters_seed_divergence_audit_20260914\per_instance_divergence.csv,4a84a05ae780519928af8d59f34d017947c1cdf890b5d794f58af987926c00eb,58,Counters strict failing-arm actions and terminal causes
experiment_tracking/advisor_followup_20260910/counters_visit_audit_manifest.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\advisor_followup_20260910\counters_visit_audit_manifest.csv,9f614c7b4c91ff2a21bdf36849ad07e6b48eb9d1b9ff81b6432aea89410c0a10,2,Counters Stage-2 selected-case provenance
experiment_tracking/advisor_followup_20260910/counters_visit_audit_latest_steps.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\advisor_followup_20260910\counters_visit_audit_latest_steps.csv,9bb596f60b656d62b688ff541e9489038f6a2a1ce8c35ba3c38915b8563ed2d0,52616,Counters Stage-2 aggregate root statistics
experiment_tracking/advisor_followup_20260910/counters_tie_break_counterfactual_latest.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\advisor_followup_20260910\counters_tie_break_counterfactual_latest.csv,e347724108ce81b2356de576c3f1838dc464404b717a6404a8c38d013d88bc7f,2894,Counters Stage-2 tie counterfactuals
experiment_tracking/counters_tie_break_3way_20260911/results_latest.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\counters_tie_break_3way_20260911\results_latest.csv,1aee97f2626a834f44a662218eb5db0d39da58a2d16879aedd86c95af5475b4b,6,Counters three-way causal treatment outcomes
experiment_tracking/block_grouping_tie_break_screen_20260913/trace_audit_summary_20260914.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\block_grouping_tie_break_screen_20260913\trace_audit_summary_20260914.csv,30275d9e516ec8fb0c7cb21ad6c31d5f71b13f9c6193213c3d2310ff7e8c76ce,4,Block Grouping fixed tie-screen traces
experiment_tracking/block_grouping_tie_break_screen_20260913/policy_alignment_20260914.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\block_grouping_tie_break_screen_20260913\policy_alignment_20260914.csv,a12bd290ea8c323fc2049e2f6613f613ba60f1c7eea1c7db167262aa577fa745,2,Block Grouping fixed pure-policy alignment
experiment_tracking/block_grouping_pw70_tie_trace_20260914/results_20260915.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\block_grouping_pw70_tie_trace_20260914\results_20260915.csv,23677bfe3101ab9c0b23a6bc6d9eda5b3ef3e33fdc6040c2662c5174d91ec3a6,4,Block Grouping PW70 selected-case outcomes
experiment_tracking/block_grouping_pw70_tie_trace_20260914/first_divergence_q_u_20260915.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\block_grouping_pw70_tie_trace_20260914\first_divergence_q_u_20260915.csv,e4cd000941496de5d2b4903c02bc11ccacafcd172823b6e2f2019154b47c5e46,4,Block Grouping PW70 first-divergence N/Q/U/prior comparison
experiment_tracking/mcts_safe_drone/targeted_results_20260828.csv,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-worktrees\mcts-safe-context\experiment_tracking\mcts_safe_drone\targeted_results_20260828.csv,63a96dbd69ff1febbf8c1ec85ed8053c17d4c21967f200f5328ebe302c7b17ff,4,Drone SAFE selected-case intervention outcomes
