task_id,candidate_index,instance,missing_stratum,outcome,outcome_evidence,first_divergence_observed,selector,selection_mechanism,selector_input_changed_from_raw_visits,duplicate_control_applied,step,policy_action,selected_action,policy_action_expanded,policy_entropy,visit_entropy,policy_visit_js_divergence,selected_action_policy_prior,selected_action_policy_rank,winner_visit_share,top1_top2_visit_margin,max_visit_tie_count,selected_is_signed_q_argmax,selected_is_u_argmax,selected_is_signed_q_plus_u_argmax,root_visits,policy_action_visits,selected_action_visits,raw_visit_argmax_action,selected_is_raw_visit_argmax,policy_action_prior,policy_action_q,selected_action_q,selected_minus_policy_q,policy_action_u,selected_action_u,selected_minus_policy_u,policy_action_q_plus_u,selected_action_q_plus_u,selected_minus_policy_q_plus_u,policy_status,current_outcome_stratum,source_result
root-trace-block_grouping-off-fixed,0,instance_100_20_5_1.pddl,both_fail_outcome_only,action_limit,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,1621,71,67,True,2.960602574520405,1.2530320281933767,0.27179184104630805,0.1271988655799972,2,0.3142857142857143,0,2,True,False,False,36,11,11,67,True,0.13416561484336853,0.0,0.0,0.0,0.006708280742168427,0.006359943002462388,-0.00034833773970603926,0.006708280742168427,0.006359943002462388,-0.00034833773970603926,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-block_grouping-off-fixed/00_src20401189_e0023_s1073581256_instance_100_20_5_1.result.json
root-trace-block_grouping-off-fixed,1,instance_11_10_2_3.pddl,both_success,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,22,30,32,True,2.6729077333594238,1.5929560514401782,0.23680294646168537,0.09341971309220656,1,0.2222222222222222,0,2,False,False,False,28,5,6,32,True,0.09341971576213837,1.2179520435307249e-15,6.36822407541988e-14,6.246428871066807e-14,0.008238844515231965,0.007061866727341685,-0.00117697778789028,0.008238844515233183,0.007061866727405368,-0.0011769777878278152,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-block_grouping-off-fixed/01_src20401189_e0023_s1073581256_instance_11_10_2_3.result.json
root-trace-block_grouping-off-fixed,2,instance_25_15_3_1.pddl,policy_failure_search_success,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,239,58,59,True,2.0280106703459846,0.454555864158811,0.2857794460865306,0.19297930369108346,2,0.6216216216216216,15,1,True,False,True,38,8,23,59,True,0.30408328771591187,0.0001099852049492322,0.017776663322045565,0.017666678117096334,0.020827725298497902,0.004956684733676295,-0.015871040564821606,0.020937710503447133,0.02273334805572186,0.0017956375522747287,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-block_grouping-off-fixed/02_src20401189_e0023_s1073581256_instance_25_15_3_1.result.json
root-trace-block_grouping-on-fixed,0,instance_100_20_5_1.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,True,root_visit_argmax,raw_root_visit_argmax,False,False,461,33,38,True,4.021930520048487,0.9836887048843423,0.5580887226516374,0.021428448989941902,1,0.3993541442411195,110,1,True,False,True,1859,632,742,38,True,0.02142844721674919,0.055983591061187096,0.05755302580098576,0.0015694347397986613,0.00014595759089298626,0.0001243487954714136,-2.1608795421572657e-05,0.056129548652080086,0.05767737459645717,0.0015478259443770861,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-block_grouping-on-fixed/00_src20401179_e0011_s1073581256_instance_100_20_5_1.result.json
root-trace-block_grouping-on-fixed,1,instance_11_10_2_3.pddl,both_success,success,completion_jsonl,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-block_grouping-on-fixed/01_src20401179_e0011_s1073581256_instance_11_10_2_3.result.json
root-trace-block_grouping-on-fixed,2,instance_20_30_7_2.pddl,policy_failure_search_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,301,21,25,True,3.290174953198134,0.18967906572575316,0.41811359364773815,0.03235567540528866,2,0.8055460458747005,1834,1,True,False,True,2922,2353,519,21,False,0.1796540468931198,0.12545836116297132,0.1428344040439903,0.017376042881018988,0.0004125443578479352,0.0003363467285993479,-7.619762924858728e-05,0.12587090552081925,0.14317075077258964,0.01729984525177039,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-block_grouping-on-fixed/02_src20401179_e0011_s1073581256_instance_20_30_7_2.result.json
root-trace-block_grouping-on-fixed,3,instance_20_30_7_2.pddl,policy_success_search_failure,action_limit,completion_jsonl,True,root_visit_argmax,raw_root_visit_argmax,False,False,365,116,2,True,2.6172375161802353,0.6702757892339054,0.3859584848265476,0.05763158867893096,3,0.5479049906591941,481,1,True,False,False,3748,1572,2053,2,True,0.23937951028347015,0.14265855809723157,0.14336109474315817,0.0007025366459265936,0.0009316612717365456,0.00017177499690290118,-0.0007598862748336443,0.14359021936896812,0.14353286974006108,-5.7349628907049643e-05,success,policy_success_search_failure,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-block_grouping-on-fixed/03_src20401184_e0088_s1510771779_instance_20_30_7_2.result.json
root-trace-counters-off-fixed,0,fz_instance_19.pddl,both_fail_outcome_only,action_limit,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,7,24,25,True,2.8994914263466116,1.5986107835803534,0.3278276152347977,0.06431584313264524,1,0.21212121212121213,0,3,False,False,False,34,6,7,25,True,0.06431584060192108,7.614989872356315e-09,1.0231929616670218e-08,2.6169397443139036e-09,0.00535746532323343,0.004687782157829251,-0.000669683165404179,0.005357472938223302,0.004687792389758868,-0.0006696805484644342,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-off-fixed/00_src20401261_e0005_s1239739722_fz_instance_19.result.json
root-trace-counters-off-fixed,1,fz_instance_12.pddl,policy_failure_search_success,success,completion_record,True,root_visit_argmax,transformed_then_root_argmax,,True,1,1,15,True,2.440034723590267,1.548569589034301,0.2415249921514508,0.08737572473783933,2,0.2608695652173913,1,1,True,False,False,24,6,5,1,False,0.11371726542711258,2.2982838130940164e-05,3.1367728695041834e-05,8.38489056410167e-06,0.007958550721173267,0.007134197894313163,-0.0008243528268601042,0.007981533559304208,0.0071655656230082045,-0.0008159679362960033,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-off-fixed/01_src20401265_e0001_s1510771779_fz_instance_12.result.json
root-trace-counters-on-fixed,0,fz_instance_16.pddl,both_fail_outcome_only,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,57,18,31,True,2.7388836878466396,0.7573485742442327,0.3113552057928966,0.1607698661707785,1,0.46440677966101696,2,1,True,False,False,296,135,137,31,True,0.16076986491680145,0.17634458352610724,0.1763446644421557,8.091604847271228e-08,0.0020338156928718107,0.0020043401031200453,-2.947558975176538e-05,0.17837839921897905,0.17834900454527575,-2.939467370330351e-05,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-on-fixed/00_src20401271_e0080_s1239739722_fz_instance_16.result.json
root-trace-counters-on-fixed,1,fz_instance_10.pddl,both_success,success,completion_record,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-on-fixed/01_src20401270_e0042_s1073581256_fz_instance_10.result.json
root-trace-counters-on-fixed,2,fz_instance_10.pddl,policy_failure_search_success,success,completion_record,True,root_visit_argmax,transformed_then_root_argmax,,True,11,18,15,True,2.151248598428077,0.07527224531303837,0.4401863817557204,0.15667769159645237,2,0.8464912280701754,173,1,True,False,False,229,5,193,15,True,0.15667769312858582,0.17644309098588645,0.21036406209055358,0.03392097110466713,0.03951606210354997,0.0012221462506252568,-0.038293915852924715,0.21595915308943642,0.21158620834117883,-0.0043729447482575845,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-on-fixed/02_src20401271_e0080_s1239739722_fz_instance_10.result.json
root-trace-counters-on-fixed,3,fz_instance_23.pddl,policy_success_search_failure,success,completion_record,True,root_visit_argmax,raw_root_visit_argmax,,False,158,25,45,True,2.7586508828341443,0.6931194040715281,0.25373939830739617,0.21685308930571756,1,0.5018633540372671,3,1,True,False,False,806,401,404,45,True,0.2168530970811844,0.20700575412036878,0.2070164254464106,1.0671326041822304e-05,0.0015314650740275567,0.0015201208882940193,-1.1344185733537428e-05,0.20853721919439633,0.20853654633470461,-6.72859691713823e-07,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-counters-on-fixed/03_src20401270_e0042_s1073581256_fz_instance_23.result.json
root-trace-drone-off-fixed,0,problem_10_10_3.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-drone-off-fixed/00_src20401209_e0090_s1073581256_problem_10_10_3.result.json
root-trace-drone-off-fixed,1,problem_1_1_2.pddl,both_success,success,completion_jsonl,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-off-fixed/01_src20401209_e0090_s1073581256_problem_1_1_2.result.json
root-trace-drone-off-fixed,2,problem_8_1_4.pddl,policy_failure_search_success,success,completion_jsonl,True,goal_chase,goal_chase,False,False,75,31,0,True,0.6392795380354741,0.020827583937459242,0.3259484728729099,0.30912044172934516,2,0.9474260679079957,817,1,True,False,True,914,48,865,0,True,0.688132643699646,2.7337159989750324e-07,0.9364033605180105,0.9364030871464106,0.042456987730054394,0.0010791527898342185,-0.041377834940220175,0.04245726110165429,0.9374825133078447,0.8950252522061904,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-off-fixed/02_src20401209_e0090_s1073581256_problem_8_1_4.result.json
root-trace-drone-off-fixed,3,problem_2_5_4.pddl,policy_success_search_failure,finished_unsolved,completion_jsonl,True,root_visit_argmax,transformed_then_root_argmax,True,True,97,2,5,True,0.8368865232845464,0.3245463766804939,0.04187987044685333,0.20682877328341195,2,0.7085714285714285,88,1,True,False,False,176,124,36,2,False,0.7030003666877747,1.927665935933929e-34,4.359771221886447e-32,4.3404945625271075e-32,0.0074610830201139525,0.007415929571720155,-4.515344839379782e-05,0.0074610830201139525,0.007415929571720155,-4.515344839379782e-05,success,policy_success_search_failure,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-off-fixed/03_src20401207_e0157_s1963100312_problem_2_5_4.result.json
root-trace-drone-on-fixed,0,problem_10_10_3.pddl,both_fail_outcome_only,hard_timeout,eval_instance_timeout_log_marker,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,failure,both_fail,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_v2/root-trace-drone-on-fixed/00_src20401199_e0118_s1073581256_problem_10_10_3.result.json
root-trace-drone-on-fixed,1,problem_1_1_2.pddl,both_success,success,completion_jsonl,False,no_divergence,no_divergence,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-on-fixed/01_src20401199_e0118_s1073581256_problem_1_1_2.result.json
root-trace-drone-on-fixed,2,problem_1_9_3.pddl,policy_failure_search_success,success,completion_jsonl,True,root_visit_argmax,raw_root_visit_argmax,False,False,18,1,31,True,0.5182131300130393,0.6636984892290964,0.30901448119881625,0.004276903951380857,3,0.5565819861431871,111,1,True,False,True,867,371,482,31,True,0.8191608190536499,0.0696464914156953,0.08012467419749497,0.01047818278179967,0.006483892120672359,2.6073076524014917e-05,-0.006457819044148344,0.07613038353636767,0.08015074727401898,0.004020363737651314,failure,policy_failure_search_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-on-fixed/02_src20401199_e0118_s1073581256_problem_1_9_3.result.json
root-trace-drone-on-fixed,3,problem_6_8_1.pddl,policy_success_search_failure,success,completion_jsonl,True,goal_chase,goal_chase,False,False,193,4,3,True,0.9917772998664003,0.21620596216459576,0.23451711317542714,0.3326715053677482,2,0.7795620437956204,411,1,True,False,True,686,123,534,3,True,0.5414772033691406,0.04604353625845819,0.05917642630011729,0.013132890041659101,0.011437221971202328,0.0016286353741517953,-0.009808586597050532,0.05748075822966052,0.060805061674269086,0.003324303444608566,success,both_success,/home/hersco/training_new_domains/2026-09-18/mcts_policy_divergence_stage1_recovery/root-trace-drone-on-fixed/03_src20401198_e0019_s2011206605_problem_6_8_1.result.json
