task_id,release_class,submitted,domain,value_head,search_family,search_config,candidate_count,candidate_runs_json,recorder_flag,cpus,memory_gib,per_instance_timeout_seconds,allocation_hours,tie_break,terminal_safe,release_gate,source_manifest,source_manifest_sha256
root-trace-block_grouping-off-fixed,primary_fixed,false,block_grouping,off,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":5,""mcts_exploration_weight"":0.1,""mcts_iterations"":20,""progressive_widening"":false}",3,"[{""checkpoint_identity"":""src20401189_e0023"",""instance"":""instance_100_20_5_1.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401189_e0023"",""instance"":""instance_11_10_2_3.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401189_e0023"",""instance"":""instance_25_15_3_1.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt"",""seed"":1073581256}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-block_grouping-on-fixed,primary_fixed,false,block_grouping,on,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":5,""mcts_exploration_weight"":0.1,""mcts_iterations"":20,""progressive_widening"":false}",4,"[{""checkpoint_identity"":""src20401179_e0011"",""instance"":""instance_100_20_5_1.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401179_e0011"",""instance"":""instance_11_10_2_3.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401179_e0011"",""instance"":""instance_20_30_7_2.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424533_Ev_block_grouping_block_grouping_orig_vh_c.1_s1073581256_SR10P_src20401179_e0011.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401184_e0088"",""instance"":""instance_20_30_7_2.pddl"",""missing_stratum"":""policy_success_search_failure"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424722_Ev_block_grouping_block_grouping_orig_vh_c.1_s1510771779_SR10P_src20401184_e0088.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430037_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401184_e0088.txt"",""seed"":1510771779}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-counters-off-fixed,primary_fixed,false,counters,off,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":5,""mcts_exploration_weight"":0.1,""mcts_iterations"":20,""progressive_widening"":false}",2,"[{""checkpoint_identity"":""src20401261_e0005"",""instance"":""fz_instance_19.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428780_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20401261_e0005.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430116_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401261_e0005.txt"",""seed"":1239739722},{""checkpoint_identity"":""src20401265_e0001"",""instance"":""fz_instance_12.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429156_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20401265_e0001.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430125_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401265_e0001.txt"",""seed"":1510771779}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-counters-on-fixed,primary_fixed,false,counters,on,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":5,""mcts_exploration_weight"":0.1,""mcts_iterations"":20,""progressive_widening"":false}",4,"[{""checkpoint_identity"":""src20401271_e0080"",""instance"":""fz_instance_16.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430139_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt"",""seed"":1239739722},{""checkpoint_identity"":""src20401270_e0042"",""instance"":""fz_instance_10.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430136_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401270_e0042.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401271_e0080"",""instance"":""fz_instance_10.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430139_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt"",""seed"":1239739722},{""checkpoint_identity"":""src20401270_e0042"",""instance"":""fz_instance_23.pddl"",""missing_stratum"":""policy_success_search_failure"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430136_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401270_e0042.txt"",""seed"":1073581256}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-drone-off-fixed,primary_fixed,false,drone,off,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":false}",4,"[{""checkpoint_identity"":""src20401209_e0090"",""instance"":""problem_10_10_3.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401209_e0090"",""instance"":""problem_1_1_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401209_e0090"",""instance"":""problem_8_1_4.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401207_e0157"",""instance"":""problem_2_5_4.pddl"",""missing_stratum"":""policy_success_search_failure"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450747_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20401207_e0157.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451722_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401207_e0157.txt"",""seed"":1963100312}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-drone-on-fixed,primary_fixed,false,drone,on,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":false}",4,"[{""checkpoint_identity"":""src20401199_e0118"",""instance"":""problem_10_10_3.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401199_e0118"",""instance"":""problem_1_1_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401199_e0118"",""instance"":""problem_1_9_3.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401198_e0019"",""instance"":""problem_6_8_1.pddl"",""missing_stratum"":""policy_success_search_failure"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425406_Ev_drone_drone_orig_vh_c.1_s2011206605_SR10P_src20401198_e0019.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430051_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401198_e0019.txt"",""seed"":2011206605}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-fo_counters-off-fixed,primary_fixed,false,fo_counters,off,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":false}",4,"[{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_10.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_5.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401235_e0066"",""instance"":""instance_8.pddl"",""missing_stratum"":""policy_success_search_failure"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427151_Ev_fo_counters_fo_counters_orig_novh_c.1_s1510771779_SR10P_src20401235_e0066.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430084_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401235_e0066.txt"",""seed"":1510771779}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-fo_counters-off-pw,optional_fo_pw,false,fo_counters,off,pw,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":true,""pw_alpha"":0.5,""pw_c"":0.6,""pw_min_width"":3}",3,"[{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_10.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out"",""seed"":1073581256},{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out"",""seed"":1073581256},{""checkpoint_identity"":""src20401230_e0022"",""instance"":""instance_5.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out"",""seed"":1073581256}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,true,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-fo_counters-on-fixed,primary_fixed,false,fo_counters,on,fixed,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":false}",3,"[{""checkpoint_identity"":""src20401220_e0106"",""instance"":""instance_10.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401220_e0106"",""instance"":""instance_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt"",""seed"":1073581256},{""checkpoint_identity"":""src20401221_e0092"",""instance"":""instance_7.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/policy_mcts_instance_audit.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426204_Ev_fo_counters_fo_counters_orig_vh_c.1_s1239739722_SR10P_src20401221_e0092.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430065_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401221_e0092.txt"",""seed"":1239739722}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,false,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
root-trace-fo_counters-on-pw,optional_fo_pw,false,fo_counters,on,pw,"{""estimator_coeff"":0.5,""mcts_expansion_k"":20,""mcts_exploration_weight"":0.1,""mcts_iterations"":70,""progressive_widening"":true,""pw_alpha"":0.5,""pw_c"":0.6,""pw_min_width"":3}",3,"[{""checkpoint_identity"":""src20401220_e0106"",""instance"":""instance_10.pddl"",""missing_stratum"":""both_fail_outcome_only"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out"",""seed"":1073581256},{""checkpoint_identity"":""src20401220_e0106"",""instance"":""instance_2.pddl"",""missing_stratum"":""both_success"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out"",""seed"":1073581256},{""checkpoint_identity"":""src20401220_e0106"",""instance"":""instance_6.pddl"",""missing_stratum"":""policy_failure_search_success"",""outcome_source"":""experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv"",""policy_log"":""/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt"",""search_log"":""/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out"",""seed"":1073581256}]",--eval-mcts-first-divergence-record,2,120,21600,26,action_id,true,known_counters_root_compute_smoke_passed,stage0_missing_strata_manifest.csv,568be5de0a01ee17cd8f77bd39f199e50784431cf10bc24d5f4d9630ed2a213b
