domain,stage,value_head,n,total,policy_mean,fixed_search,fixed_30m,fixed_2h,fixed_6h,pw20_30m,pw20_2h,pw20_6h,pw70_30m,pw70_2h,pw70_6h,status
block_grouping,stage1,off,2,20,16.5,fixed_narrow_width5_sim20,11.0,13.5,15.0,11.5,15.0,15.0,">=10.5",">=11.5",">=12.5",pw70_live_lower_bound
block_grouping,stage1,on,2,20,17.0,fixed_narrow_width5_sim20,11.5,13.5,17.0,12.5,17.0,18.0,">=9.0",">=11.5",">=13.0",pw70_live_lower_bound
counters,stage1,off,2,59,18.0,fixed_narrow_width5_sim20,21.5,21.5,21.5,20.5,20.5,20.5,">=21.0",">=21.0",">=21.0",pw70_live_lower_bound
counters,stage1,on,2,59,5.0,fixed_narrow_width5_sim20,13.5,13.5,13.5,12.5,12.5,12.5,">=12.0",">=12.5",">=12.5",pw70_live_lower_bound
counters,stage2,off,2,59,49.0,fixed_narrow_width5_sim20,">=37.0",">=41.5",44.5,46.0,49.5,49.5,">=34.0",">=39.5",">=43.0",pw70_live_lower_bound
counters,stage2,on,2,59,5.0,fixed_narrow_width5_sim20,16.5,17.5,17.5,15.0,15.0,15.0,">=13.5",">=14.0",">=14.0",pw70_live_lower_bound
fo_counters,stage1,off,2,20,3.5,fixed_normal_width20_sim70,9.0,9.5,9.5,,,,9.5,9.5,9.5,complete_val_confirmed
fo_counters,stage1,on,2,20,3.5,fixed_normal_width20_sim70,6.0,7.5,7.5,,,,8.0,8.0,8.0,complete_val_confirmed
rover,stage1,off,2,20,4.0,fixed_normal_width20_sim70,4.0,4.5,4.5,,,,5.0,5.0,5.0,complete_val_confirmed
rover,stage1,on,2,20,4.0,fixed_normal_width20_sim70,4.5,4.5,4.5,,,,5.5,5.5,5.5,complete_val_confirmed
