value_head,seed,policy,pw30,pw2,pw6,job_id,log,completion
off,1073581256,53.0,36.0,46.0,52.0,20838262,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838262_pw70-confirm-counters-off-1073581256-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838262.jsonl
off,534933607,6.0,10.0,10.0,10.0,20838263,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838263_pw70-confirm-counters-off-534933607-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838263.jsonl
off,923500475,32.0,33.0,33.0,33.0,20838264,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838264_pw70-confirm-counters-off-923500475-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838264.jsonl
off,1963100312,59.0,30.0,38.0,46.0,20755795,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-1963100312-s2_20755795.out,
off,2011206605,39.0,38.0,41.0,41.0,20755797,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s2_20755797.out,
on,1073581256,55.0,27.0,40.0,44.0,20838265,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838265_pw70-confirm-counters-on-1073581256-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838265.jsonl
on,534933607,59.0,36.0,48.0,56.0,20838266,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838266_pw70-confirm-counters-on-534933607-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838266.jsonl
on,923500475,38.0,20.0,26.0,29.0,20838267,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/20838267_pw70-confirm-counters-on-923500475-stage2.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/completion/20838267.jsonl
on,1963100312,3.0,15.0,15.0,15.0,20755799,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-1963100312-s2_20755799.out,
on,2011206605,7.0,12.0,13.0,13.0,20755801,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-2011206605-s2_20755801.out,
