experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,recorded_instances,total_instances,unclassified_instances,recorded_successes,recorded_unsolved,recorded_timeouts,successes_le_1800s,successes_le_7200s,successes_le_21600s
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-off-1963100312-s1,block_grouping,stage1,off,1963100312,pw_kmin3,20,20726010,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-off-1963100312-s1_20726010.out,20,20,0,15,0,5,11,15,15
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-off-2011206605-s1,block_grouping,stage1,off,2011206605,pw_kmin3,20,20726011,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-off-2011206605-s1_20726011.out,20,20,0,15,3,2,12,15,15
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-on-1963100312-s1,block_grouping,stage1,on,1963100312,pw_kmin3,20,20726012,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-on-1963100312-s1_20726012.out,20,20,0,18,0,2,13,17,18
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-on-2011206605-s1,block_grouping,stage1,on,2011206605,pw_kmin3,20,20726013,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-on-2011206605-s1_20726013.out,20,20,0,18,1,1,12,17,18
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-off-1963100312-s1,counters,stage1,off,1963100312,pw_kmin3,20,20726014,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-off-1963100312-s1_20726014.out,46,,,21,25,0,21,21,21
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-off-1963100312-s2,counters,stage2,off,1963100312,pw_kmin3,20,20726015,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-off-1963100312-s2_20726015.out,59,59,0,59,0,0,52,59,59
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-off-2011206605-s1,counters,stage1,off,2011206605,pw_kmin3,20,20726016,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-off-2011206605-s1_20726016.out,49,,,20,29,0,20,20,20
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-off-2011206605-s2,counters,stage2,off,2011206605,pw_kmin3,20,20726017,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-off-2011206605-s2_20726017.out,50,,,40,8,2,40,40,40
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-on-1963100312-s1,counters,stage1,on,1963100312,pw_kmin3,20,20726018,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-on-1963100312-s1_20726018.out,44,,,12,32,0,12,12,12
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-on-1963100312-s2,counters,stage2,on,1963100312,pw_kmin3,20,20726019,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-on-1963100312-s2_20726019.out,45,,,18,27,0,18,18,18
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-on-2011206605-s1,counters,stage1,on,2011206605,pw_kmin3,20,20726020,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-on-2011206605-s1_20726020.out,59,59,0,13,46,0,13,13,13
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-on-2011206605-s2,counters,stage2,on,2011206605,pw_kmin3,20,20726021,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-on-2011206605-s2_20726021.out,42,,,12,30,0,12,12,12
