experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,recorded_instances,total_instances,unclassified_instances,recorded_successes,recorded_unsolved,recorded_timeouts,successes_le_1800s,successes_le_7200s,successes_le_21600s
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,59,59,0,52,0,7,36,46,52
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-534933607-stage2,counters,stage2,off,534933607,pw_kmin3,70,20838263,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-534933607-stage2_20838263.out,35,,,10,4,21,10,10,10
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-923500475-stage2,counters,stage2,off,923500475,pw_kmin3,70,20838264,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-923500475-stage2_20838264.out,48,,,33,0,15,33,33,33
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-1073581256-stage2,counters,stage2,on,1073581256,pw_kmin3,70,20838265,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-1073581256-stage2_20838265.out,55,,,44,0,11,27,40,44
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-534933607-stage2,counters,stage2,on,534933607,pw_kmin3,70,20838266,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-534933607-stage2_20838266.out,59,59,0,56,0,3,36,48,56
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-923500475-stage2,counters,stage2,on,923500475,pw_kmin3,70,20838267,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-923500475-stage2_20838267.out,43,,,29,2,12,20,26,29
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-1073581256-stage1,fo_counters,stage1,off,1073581256,pw_kmin3,70,20838268,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out,19,20,1,6,4,9,6,6,6
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-534933607-stage1,fo_counters,stage1,off,534933607,pw_kmin3,70,20838269,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-534933607-stage1_20838269.out,20,20,0,7,0,13,7,7,7
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-923500475-stage1,fo_counters,stage1,off,923500475,pw_kmin3,70,20838270,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-923500475-stage1_20838270.out,20,20,0,8,0,12,8,8,8
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-1073581256-stage1,fo_counters,stage1,on,1073581256,pw_kmin3,70,20838271,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out,20,20,0,7,4,9,7,7,7
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-534933607-stage1,fo_counters,stage1,on,534933607,pw_kmin3,70,20838272,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-534933607-stage1_20838272.out,20,20,0,7,10,3,7,7,7
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-923500475-stage1,fo_counters,stage1,on,923500475,pw_kmin3,70,20838273,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-923500475-stage1_20838273.out,20,20,0,6,13,1,6,6,6
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-1073581256-stage1,rover,stage1,off,1073581256,pw_kmin3,70,20838274,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-1073581256-stage1_20838274.out,20,20,0,4,10,6,4,4,4
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-534933607-stage1,rover,stage1,off,534933607,pw_kmin3,70,20838275,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-534933607-stage1_20838275.out,20,20,0,6,3,11,6,6,6
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-923500475-stage1,rover,stage1,off,923500475,pw_kmin3,70,20838276,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-923500475-stage1_20838276.out,20,20,0,4,9,7,4,4,4
