experiment_id,manifest_id,domain,value_head,seed,stage,mainstream_lineage,source_checkpoint,source_training_job_id,snapshot_epoch,policy_score,matched_fixed_width,iterations,pw_min_width,pw_c,pw_alpha,terminal_safe,workers,cpus,memory,time_limit,instance_timeout,teacher,status,notes
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,off,1073581256,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T16:26:23.850750/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906780-1247c09/snapshots/snapshot_0_1.0000",20430419,0,53,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-534933607-stage2,counters,off,534933607,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T18:14:27.409234/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906888-3c74d66/snapshots/snapshot_8_1.0000",20430422,8,6,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-923500475-stage2,counters,off,923500475,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T19:14:32.662371/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906948-5194f74/snapshots/snapshot_0_1.0000",20430425,0,32,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-1073581256-stage2,counters,on,1073581256,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T19:28:41.795056/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906962-1247c09/snapshots/snapshot_16_1.0000",20430429,16,55,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-534933607-stage2,counters,on,534933607,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T20:13:50.917490/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04907007-3c74d66/snapshots/snapshot_2_1.0000",20430432,2,59,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-923500475-stage2,counters,on,923500475,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T20:45:11.520793/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04907039-5194f74/snapshots/snapshot_1_1.0000",20430435,1,38,5,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-1073581256-stage1,fo_counters,off,1073581256,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750965/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_22_1.000",20401230,22,3,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-534933607-stage1,fo_counters,off,534933607,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.946490/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_57_1.000",20401233,57,4,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-923500475-stage1,fo_counters,off,923500475,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:54.947205/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_14_1.000",20401236,14,4,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-1073581256-stage1,fo_counters,on,1073581256,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.105162/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_106_1.000",20401220,106,4,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready-low-priority,Adds three held-out seeds to the two-seed screen for five matched seeds; submitted with lower scheduler priority than pre-existing ordinary pending work; PW70 is never pooled with PW20
