experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,instance_number,instance_path,status,elapsed_seconds,success,steps,success_le_1800s,success_le_7200s,success_le_21600s
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,1,../problems/numeric/counters/vanilla/fz_instance_2.pddl,success,7.28,True,1,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,2,../problems/numeric/counters/vanilla/fz_instance_3.pddl,success,8.29,True,3,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,3,../problems/numeric/counters/vanilla/fz_instance_4.pddl,success,11.55,True,6,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,4,../problems/numeric/counters/vanilla/fz_instance_5.pddl,success,11.05,True,10,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,5,../problems/numeric/counters/vanilla/fz_instance_6.pddl,success,13.56,True,15,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,6,../problems/numeric/counters/vanilla/fz_instance_7.pddl,success,17.1,True,21,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,7,../problems/numeric/counters/vanilla/fz_instance_8.pddl,success,18.1,True,28,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,8,../problems/numeric/counters/vanilla/fz_instance_9.pddl,success,23.12,True,36,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,9,../problems/numeric/counters/vanilla/fz_instance_10.pddl,success,31.17,True,47,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,10,../problems/numeric/counters/vanilla/fz_instance_11.pddl,success,36.13,True,55,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,11,../problems/numeric/counters/vanilla/fz_instance_12.pddl,success,38.6,True,66,1,1,1
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,20838262,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out,12,../problems/numeric/counters/vanilla/fz_instance_13.pddl,success,45.91,True,78,1,1,1
