experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-1073581256-stage2,counters,stage2,off,1073581256,pw_kmin3,70,53,5,20838262,20430419,0,,COMPLETED,18:01:59,52.0,59,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-1073581256-stage2_20838262.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-534933607-stage2,counters,stage2,off,534933607,pw_kmin3,70,6,5,20838263,20430422,8,,RUNNING,2-00:32:52,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-534933607-stage2_20838263.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-off-923500475-stage2,counters,stage2,off,923500475,pw_kmin3,70,32,5,20838264,20430425,0,,RUNNING,1-09:44:38,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-off-923500475-stage2_20838264.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-1073581256-stage2,counters,stage2,on,1073581256,pw_kmin3,70,55,5,20838265,20430429,16,,RUNNING,1-09:42:35,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-1073581256-stage2_20838265.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-534933607-stage2,counters,stage2,on,534933607,pw_kmin3,70,59,5,20838266,20430432,2,,COMPLETED,22:27:52,56.0,59,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-534933607-stage2_20838266.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-counters-on-923500475-stage2,counters,stage2,on,923500475,pw_kmin3,70,38,5,20838267,20430435,1,,RUNNING,1-09:37:10,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-counters-on-923500475-stage2_20838267.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-1073581256-stage1,fo_counters,stage1,off,1073581256,pw_kmin3,70,3,20,20838268,20401230,22,,OUT_OF_MEMORY,1-00:31:08,6.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-534933607-stage1,fo_counters,stage1,off,534933607,pw_kmin3,70,4,20,20838269,20401233,57,,OUT_OF_MEMORY,1-06:02:02,7.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-534933607-stage1_20838269.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-off-923500475-stage1,fo_counters,stage1,off,923500475,pw_kmin3,70,4,20,20838270,20401236,14,,OUT_OF_MEMORY,1-00:07:30,8.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-923500475-stage1_20838270.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-1073581256-stage1,fo_counters,stage1,on,1073581256,pw_kmin3,70,4,20,20838271,20401220,106,,COMPLETED,20:19:41,7.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-534933607-stage1,fo_counters,stage1,on,534933607,pw_kmin3,70,2,20,20838272,20401223,58,,COMPLETED,10:37:14,7.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-534933607-stage1_20838272.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-fo_counters-on-923500475-stage1,fo_counters,stage1,on,923500475,pw_kmin3,70,3,20,20838273,20401226,34,,OUT_OF_MEMORY,13:53:59,6.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-923500475-stage1_20838273.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-1073581256-stage1,rover,stage1,off,1073581256,pw_kmin3,70,4,20,20838274,20401250,40,,COMPLETED,13:02:19,4.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-1073581256-stage1_20838274.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-534933607-stage1,rover,stage1,off,534933607,pw_kmin3,70,4,20,20838275,20401253,124,,COMPLETED,1-00:11:15,6.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-534933607-stage1_20838275.out
MCTS-PW70-CONFIRMATORY,pw70-confirm-rover-off-923500475-stage1,rover,stage1,off,923500475,pw_kmin3,70,4,20,20838276,20401256,20,,OUT_OF_MEMORY,18:04:20,4.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-923500475-stage1_20838276.out
