experiment_id,domain,stage,value_head,seed,seed_role,policy_score,fixed_20_70_score,pw70_30m_score,pw70_2h_score,pw70_6h_score,terminal,source_pw_log,source_fixed_log
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,534933607,confirmation_new,4,8,7,7,7,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-534933607-stage1_20838269.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430082_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401233_e0057.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,923500475,confirmation_new,4,9,8,8,8,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-923500475-stage1_20838270.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430085_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401236_e0014.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,1073581256,confirmation_new,3,7,6,6,6,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,1963100312,screen_reused,3,9,9,9,9,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-off-1963100312-s1_20726022.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,2011206605,screen_reused,4,10,10,10,10,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-off-2011206605-s1_20726023.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430073_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401229_e0046.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,534933607,confirmation_new,2,4,7,7,7,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-534933607-stage1_20838272.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430067_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401223_e0058.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,923500475,confirmation_new,3,4,6,6,6,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-923500475-stage1_20838273.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430070_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401226_e0034.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,1073581256,confirmation_new,4,4,7,7,7,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,1963100312,screen_reused,4,8,8,8,8,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-on-1963100312-s1_20726024.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430062_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401218_e0011.txt
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,2011206605,screen_reused,3,7,8,8,8,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-on-2011206605-s1_20726025.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430063_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401219_e0051.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,off,534933607,confirmation_new,4,4,6,6,6,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-534933607-stage1_20838275.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430102_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401253_e0124.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,off,923500475,confirmation_new,4,5,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-923500475-stage1_20838276.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430107_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401256_e0020.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,off,1073581256,confirmation_new,4,6,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-1073581256-stage1_20838274.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,off,1963100312,screen_reused,4,5,6,6,6,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-1963100312-s1_20726026.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,off,2011206605,screen_reused,4,4,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-2011206605-s1_20726027.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,on,534933607,confirmation_new,4,4,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-534933607-stage1_20838278.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430092_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401243_e0017.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,on,923500475,confirmation_new,2,4,5,5,5,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-923500475-stage1_20838279.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430095_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401246_e0004.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,on,1073581256,confirmation_new,4,6,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-1073581256-stage1_20838277.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,on,1963100312,screen_reused,4,4,7,7,7,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-on-1963100312-s1_20726028.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430087_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401238_e0070.txt
MCTS-PW70-CONFIRMATORY,rover,stage1,on,2011206605,screen_reused,4,5,4,4,4,true,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-on-2011206605-s1_20726029.out,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430088_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401239_e0095.txt
