experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,recorded_instances,total_instances,unclassified_instances,recorded_successes,recorded_unsolved,recorded_timeouts,successes_le_1800s,successes_le_7200s,successes_le_21600s
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-1963100312-s1,block_grouping,stage1,off,1963100312,pw_kmin3,70,20755790,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-1963100312-s1_20755790.out,20,20,0,13,0,7,12,12,13
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-2011206605-s1,block_grouping,stage1,off,2011206605,pw_kmin3,70,20755791,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-2011206605-s1_20755791.out,20,20,0,13,0,7,9,11,13
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-1963100312-s1,block_grouping,stage1,on,1963100312,pw_kmin3,70,20755792,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-1963100312-s1_20755792.out,20,20,0,13,0,7,9,12,13
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-2011206605-s1,block_grouping,stage1,on,2011206605,pw_kmin3,70,20755793,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-2011206605-s1_20755793.out,20,20,0,14,0,6,9,11,14
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s1,counters,stage1,off,1963100312,pw_kmin3,70,20755794,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-1963100312-s1_20755794.out,54,,,21,0,33,21,21,21
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s2,counters,stage2,off,1963100312,pw_kmin3,70,20755795,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-1963100312-s2_20755795.out,59,59,0,46,0,13,30,38,46
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s1,counters,stage1,off,2011206605,pw_kmin3,70,20755796,RUNNING,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s1_20755796.out,30,,,21,0,9,21,21,21
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s2,counters,stage2,off,2011206605,pw_kmin3,70,20755797,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s2_20755797.out,59,59,0,41,0,18,38,41,41
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s1,counters,stage1,on,1963100312,pw_kmin3,70,20755798,TIMEOUT,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-1963100312-s1_20755798.out,48,,,13,4,31,13,13,13
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s2,counters,stage2,on,1963100312,pw_kmin3,70,20755799,TIMEOUT,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-1963100312-s2_20755799.out,48,,,15,0,33,15,15,15
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-2011206605-s1,counters,stage1,on,2011206605,pw_kmin3,70,20755800,TIMEOUT,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-2011206605-s1_20755800.out,49,,,12,10,27,11,12,12
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-2011206605-s2,counters,stage2,on,2011206605,pw_kmin3,70,20755801,TIMEOUT,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-2011206605-s2_20755801.out,49,,,13,9,27,12,13,13
