experiment_id,manifest_id,domain,value_head,seed,stage,mainstream_lineage,source_checkpoint,source_training_job_id,snapshot_epoch,policy_score,matched_fixed_width,iterations,pw_min_width,pw_c,pw_alpha,terminal_safe,workers,cpus,memory,time_limit,instance_timeout,teacher,status,notes
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-1963100312-s1,block_grouping,off,1963100312,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_44_0.333",20401187,44,18,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hadd-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-2011206605-s1,block_grouping,off,2011206605,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_40_0.250",20401188,40,15,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hadd-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-1963100312-s1,block_grouping,on,1963100312,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:51.374189/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-2fc32f3/snapshots/snapshot_4_0.333",20401177,4,17,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hadd-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-2011206605-s1,block_grouping,on,2011206605,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:12:19.946299/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905446-067843/snapshots/snapshot_26_0.333",20401178,26,17,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hadd-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s1,counters,off,1963100312,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.096138/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_101_1.000",20401258,101,17,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s2,counters,off,1963100312,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T15:48:52.673352/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906742-2fc32f3/snapshots/snapshot_33_1.0000",20430416,33,59,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s1,counters,off,2011206605,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.112993/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_37_1.000",20401259,37,19,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s2,counters,off,2011206605,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T16:09:49.771406/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906763-067843/snapshots/snapshot_12_1.0000",20430417,12,,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s1,counters,on,1963100312,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094315/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_204_1.000",20401268,204,3,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s2,counters,on,1963100312,stage2,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-21T19:20:09.987511/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906954-2fc32f3/snapshots/snapshot_0_1.0000",20430427,0,,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-2011206605-s1,counters,on,2011206605,stage1,MAIN-VAL,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:56.094328/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_9_1.000",20401269,9,7,20,70,3,0.6,0.5,true,3,6,120G,3-00:00:00,21600,hmrmax-astar,ready,"Seventy-simulation follow-up to the separately retained 20-simulation budget-matched arm; report policy, fixed 5/20, fixed 20/70 when present, PW20, and PW70 distinctly"
