experiment,domain,stage,value_head,n_target,n_terminal,status,policy_mean,fixed_search,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,pw_vs_policy_6h,ci95_low,ci95_high,raw_p,pw_vs_fixed_6h,conclusion,row_level_provenance
MCTS-PW70-CORRECTION,block_grouping,stage1,off,2,2,complete,16.5,narrow5/20,11.5,15.0,15.0,10.5,11.5,13.0,-3.5,,,, -2.0,PW70 remains below policy and fixed narrow,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CORRECTION,block_grouping,stage1,on,2,2,complete,17.0,narrow5/20,12.5,17.0,18.0,9.0,11.5,13.5,-3.5,,,, -4.5,PW70 remains below policy and fixed narrow,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CORRECTION,counters,stage1,off,2,1,live_lower_bound,18.0,narrow5/20,20.5,20.5,20.5,">=21.0",">=21.0",">=21.0",">=3.0",,,,">=0.5",one seed still running; do not freeze conclusion,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv"
MCTS-PW70-CORRECTION,counters,stage1,on,2,2,complete,5.0,narrow5/20,12.5,12.5,12.5,12.0,12.5,12.5,7.5,,,,0.0,PW70 matches fixed narrow at2h/6h and improves policy,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CONFIRMATORY,counters,stage2,off,5,5,complete,37.8,narrow5/20,34.6,36.4,36.4,29.4,33.6,36.4,-1.4,-9.76,6.96,0.9375,0.0,PW70 matches fixed narrow at6h but not policy,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv;experiment_tracking/live_mcts_job_provenance_20260905_1314.csv
MCTS-PW70-CONFIRMATORY,counters,stage2,on,5,4,live_lower_bound,32.4,narrow5/20,28.2,34.2,35.6,">=22.0",">=28.4",">=31.4",">=-1.0",,,,">=-4.2",fifth seed running; current lower bound nearly reaches policy by6h,"experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv;experiment_tracking/live_mcts_job_provenance_20260905_1314.csv"
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,off,5,5,complete,3.6,normal20/70,8.6,8.6,8.6,8.0,8.0,8.0,4.4,2.52,6.28,0.0625,-0.6,practically promising; directional five-seed evidence,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv
MCTS-PW70-CONFIRMATORY,fo_counters,stage1,on,5,5,complete,3.2,normal20/70,5.4,5.4,5.4,7.2,7.2,7.2,4.0,2.76,5.24,0.0625,1.8,practically promising and above fixed mean,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv
MCTS-PW70-CONFIRMATORY,rover,stage1,off,5,5,complete,4.0,normal20/70,4.8,4.8,4.8,4.8,4.8,4.8,0.8,-0.56,2.16,0.5,0.0,matches fixed search and improves mean over policy,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv
MCTS-PW70-CONFIRMATORY,rover,stage1,on,5,5,complete,3.6,normal20/70,4.6,4.6,4.6,4.8,4.8,4.8,1.2,-0.84,3.24,0.5,0.2,matches or slightly exceeds fixed mean,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv
