experiment,domain,stage,value_head,n_target,n_terminal,status,policy_mean,fixed_search,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,pw_vs_policy_6h,conclusion,row_level_provenance
MCTS-PW70-CORRECTION,block_grouping,stage1,off,2,2,complete,16.5,narrow5/20,11.5,15.0,15.0,10.5,11.5,13.0,-3.5,PW70 remains below policy and fixed narrow,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CORRECTION,block_grouping,stage1,on,2,2,complete,17.0,narrow5/20,12.5,17.0,18.0,9.0,11.5,13.5,-3.5,PW70 remains below policy and fixed narrow,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CORRECTION,counters,stage1,off,2,1,live_lower_bound,18.0,narrow5/20,20.5,20.5,20.5,">=21.0",">=21.0",">=21.0",">=3.0",One seed remains running; no final cell conclusion,experiment_tracking/cluster_workload_20260907.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CORRECTION,counters,stage1,on,2,2,complete,5.0,narrow5/20,12.5,12.5,12.5,12.0,12.5,12.5,7.5,PW70 matches fixed narrow at2h/6h and improves policy,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv
MCTS-PW70-CONFIRMATORY,counters,stage2,off,5,5,complete,37.8,narrow5/20,34.6,36.4,36.4,29.4,33.6,36.4,-1.4,PW70 matches fixed narrow at6h but remains below policy,experiment_tracking/mcts_progressive_widening_cross_domain/counters_pw70_five_seed_20260906.csv
MCTS-PW70-CONFIRMATORY,counters,stage2,on,5,5,complete,32.4,narrow5/20,27.4,34.2,35.6,22.0,28.4,31.4,-1.0,PW70 remains below fixed and policy means,experiment_tracking/mcts_progressive_widening_cross_domain/counters_pw70_five_seed_20260906.csv
MCTS-PW70-TEN-SEED,fo_counters,stage1,off,10,9,live,4.111,normal20/70,7.778,7.778,7.778,8.556,8.556,8.556,4.444,Strong provisional policy improvement; final seed remains,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv
MCTS-PW70-TEN-SEED,fo_counters,stage1,on,10,9,live,3.556,normal20/70,5.556,5.556,5.556,7.444,7.444,7.444,3.889,Strong provisional gain over policy and fixed search; final seed remains,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv
MCTS-PW70-TEN-SEED,rover,stage1,off,10,9,live,4.000,normal20/70,5.111,5.111,5.111,4.778,4.778,4.778,0.778,Modest policy gain; no fixed-search advantage,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv
MCTS-PW70-TEN-SEED,rover,stage1,on,10,9,live,3.778,normal20/70,4.444,4.444,4.444,4.556,4.667,4.667,0.889,Modest policy gain and approximate fixed-search parity,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv
