job_id,domain,value_head,seed,state,elapsed,success_30m,success_2h,success_6h,latest_final_score,total,ordinary_unsolved,logged_timeouts,source_log,source_checkpoint_manifest
21039201,fo_counters,off,1239739722,COMPLETED,18:21:46,10,10,10,10,20,4,6,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039201_pw70-ten-fo_counters-off-1239739722-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039202,fo_counters,off,1472491096,COMPLETED,1-00:02:51,9,9,9,9,20,1,10,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039202_pw70-ten-fo_counters-off-1472491096-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039203,fo_counters,off,1510771779,OUT_OF_MEMORY,1-00:03:38,9,9,9,9,20,0,11,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039203_pw70-ten-fo_counters-off-1510771779-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039204,fo_counters,off,1972442430,COMPLETED,07:31:27,9,9,9,9,20,10,1,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039204_pw70-ten-fo_counters-off-1972442430-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039205,fo_counters,off,2082152039,RUNNING,1-00:21:23,7,7,7,,,3,8,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039205_pw70-ten-fo_counters-off-2082152039-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039206,fo_counters,on,1239739722,OUT_OF_MEMORY,1-00:03:36,8,8,8,8,20,0,10,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039206_pw70-ten-fo_counters-on-1239739722-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039207,fo_counters,on,1472491096,COMPLETED,1-00:04:27,8,8,8,8,20,3,9,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039207_pw70-ten-fo_counters-on-1472491096-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039208,fo_counters,on,1510771779,OUT_OF_MEMORY,1-00:03:54,9,9,9,9,20,0,10,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039208_pw70-ten-fo_counters-on-1510771779-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039209,fo_counters,on,1972442430,RUNNING,1-00:20:52,6,6,6,,,1,11,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039209_pw70-ten-fo_counters-on-1972442430-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
21039210,fo_counters,on,2082152039,COMPLETED,17:03:15,6,6,6,6,20,13,1,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/21039210_pw70-ten-fo_counters-on-2082152039-s1.txt,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv
