domain,value_head,seed,policy_score,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,included_in_inference,evidence_status,classified_instances,job_state,pw_job_id,source_policy_log,source_fixed_log,source_pw_log
fo_counters,off,534933607,4,8,8,8,7,7,7,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426934_Ev_fo_counters_fo_counters_orig_novh_c.1_s534933607_SR10P_src20401233_e0057.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430082_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401233_e0057.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-534933607-stage1_20838269.out
fo_counters,off,923500475,4,7,9,9,8,8,8,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427164_Ev_fo_counters_fo_counters_orig_novh_c.1_s923500475_SR10P_src20401236_e0014.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430085_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401236_e0014.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-923500475-stage1_20838270.out
fo_counters,off,1073581256,3,7,7,7,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out
fo_counters,off,1963100312,3,9,9,9,9,9,9,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426778_Ev_fo_counters_fo_counters_orig_novh_c.1_s1963100312_SR10P_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-off-1963100312-s1_20726022.out
fo_counters,off,2011206605,4,9,10,10,10,10,10,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426824_Ev_fo_counters_fo_counters_orig_novh_c.1_s2011206605_SR10P_src20401229_e0046.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430073_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401229_e0046.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-off-2011206605-s1_20726023.out
fo_counters,on,534933607,2,4,4,4,7,7,7,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426397_Ev_fo_counters_fo_counters_orig_vh_c.1_s534933607_SR10P_src20401223_e0058.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430067_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401223_e0058.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-534933607-stage1_20838272.out
fo_counters,on,923500475,3,4,4,4,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426477_Ev_fo_counters_fo_counters_orig_vh_c.1_s923500475_SR10P_src20401226_e0034.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430070_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401226_e0034.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-923500475-stage1_20838273.out
fo_counters,on,1073581256,4,4,4,4,7,7,7,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out
fo_counters,on,1963100312,4,5,8,8,8,8,8,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425875_Ev_fo_counters_fo_counters_orig_vh_c.1_s1963100312_SR10P_src20401218_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430062_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401218_e0011.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-on-1963100312-s1_20726024.out
fo_counters,on,2011206605,3,7,7,7,8,8,8,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426065_Ev_fo_counters_fo_counters_orig_vh_c.1_s2011206605_SR10P_src20401219_e0051.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430063_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401219_e0051.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-on-2011206605-s1_20726025.out
rover,off,534933607,4,4,4,4,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428485_Ev_rover_rover_orig_novh_c.1_s534933607_SR10P_src20401253_e0124.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430102_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401253_e0124.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-534933607-stage1_20838275.out
rover,off,923500475,4,5,5,5,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428665_Ev_rover_rover_orig_novh_c.1_s923500475_SR10P_src20401256_e0020.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430107_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401256_e0020.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-923500475-stage1_20838276.out
rover,off,1073581256,4,6,6,6,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-off-1073581256-stage1_20838274.out
rover,off,1963100312,4,4,5,5,6,6,6,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428037_Ev_rover_rover_orig_novh_c.1_s1963100312_SR10P_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-1963100312-s1_20726026.out
rover,off,2011206605,4,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428091_Ev_rover_rover_orig_novh_c.1_s2011206605_SR10P_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-off-2011206605-s1_20726027.out
rover,on,534933607,4,4,4,4,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427795_Ev_rover_rover_orig_vh_c.1_s534933607_SR10P_src20401243_e0017.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430092_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401243_e0017.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-534933607-stage1_20838278.out
rover,on,923500475,2,4,4,4,5,5,5,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428007_Ev_rover_rover_orig_vh_c.1_s923500475_SR10P_src20401246_e0004.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430095_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401246_e0004.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-923500475-stage1_20838279.out
rover,on,1073581256,4,6,6,6,4,4,4,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-rover-on-1073581256-stage1_20838277.out
rover,on,1963100312,4,4,4,4,7,7,7,true,complete_declared_budget,20,COMPLETED,historical,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427194_Ev_rover_rover_orig_vh_c.1_s1963100312_SR10P_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430087_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-rover-on-1963100312-s1_20726028.out
