job_id,value_head,seed,variant,pw_score,total,val_valid,elapsed,policy_score,fixed_top20_job_id,fixed_top20_score,delta_vs_top20,source_log,status,safe_selector
20620632,off,1963100312,progressive_c0p6,8,20,8,10:55:26,11,20451722,10,-2,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620632_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_pw-drone-off-1963100312-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620633,off,1963100312,progressive_c1p0,8,20,8,06:37:14,11,20451722,10,-2,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620633_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_pw-drone-off-1963100312-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620635,off,2011206605,progressive_c0p6,6,20,6,04:10:10,5,20430057,7,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620635_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_pw-drone-off-2011206605-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620636,off,2011206605,progressive_c1p0,6,20,6,02:42:18,5,20430057,7,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620636_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_pw-drone-off-2011206605-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620638,off,1073581256,progressive_c0p6,5,20,5,10:35:35,5,20451723,6,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620638_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_pw-drone-off-1073581256-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620639,off,1073581256,progressive_c1p0,6,20,6,07:32:34,5,20451723,6,0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620639_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_pw-drone-off-1073581256-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620640,off,1239739722,fixed_top5,8,20,8,09:19:23,5,20430058,8,0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620640_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-fixed_top5.txt,COMPLETED,pre-MCTS-SAFE
20620641,off,1239739722,progressive_c0p6,5,20,5,07:35:33,5,20430058,8,-3,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620641_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620642,off,1239739722,progressive_c1p0,5,20,5,06:20:08,5,20430058,8,-3,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620642_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_pw-drone-off-1239739722-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620644,off,1472491096,progressive_c0p6,10,20,10,07:24:30,10,20451724,11,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620644_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_pw-drone-off-1472491096-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620645,off,1472491096,progressive_c1p0,10,20,10,06:48:30,10,20451724,11,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620645_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_pw-drone-off-1472491096-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620646,on,1963100312,fixed_top5,4,20,4,08:58:32,2,20430050,3,1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620646_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-fixed_top5.txt,COMPLETED,pre-MCTS-SAFE
20620647,on,1963100312,progressive_c0p6,4,20,4,08:54:34,2,20430050,3,1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620647_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620648,on,1963100312,progressive_c1p0,2,20,2,05:22:53,2,20430050,3,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620648_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1963100312_K0_pw-drone-on-1963100312-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620650,on,2011206605,progressive_c0p6,8,20,8,08:13:31,6,20430051,8,0,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620650_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_pw-drone-on-2011206605-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620651,on,2011206605,progressive_c1p0,7,20,7,05:05:32,6,20430051,8,-1,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620651_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_pw-drone-on-2011206605-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620656,on,1239739722,progressive_c0p6,4,20,4,01:46:17,3,20430052,6,-2,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620656_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_pw-drone-on-1239739722-progressive_c0p6.txt,COMPLETED,pre-MCTS-SAFE
20620657,on,1239739722,progressive_c1p0,3,20,3,00:58:01,3,20430052,6,-3,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620657_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_pw-drone-on-1239739722-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
20620660,on,1472491096,progressive_c1p0,5,20,5,02:25:57,4,20430053,11,-6,/home/hersco/training_new_domains/2026-08-27/mcts_progressive_widening_pilot_recovery2/20620660_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_pw-drone-on-1472491096-progressive_c1p0.txt,COMPLETED,pre-MCTS-SAFE
