arm,value_head,seed,job_id,score,total,elapsed,source_checkpoint,source_log
fixed_top20,off,534933607,20451725,10,20,12:07:42,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,1073581256,20451723,6,20,12:08:52,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1239739722,20430058,8,20,12:04:38,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1472491096,20451724,11,20,12:07:32,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
fixed_top20,on,534933607,20451720,16,20,12:11:50,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451720_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401202_e0161.txt
fixed_top20,on,1073581256,20431945,16,20,12:12:21,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt
fixed_top20,on,1239739722,20430052,6,20,09:43:30,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430052_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401200_e0023.txt
fixed_top20,on,1472491096,20430053,11,20,11:26:39,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430053_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401201_e0021.txt
policy,off,534933607,20450836,11,20,00:03:04,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913938/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_69_0.500",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450836_Ev_drone_drone_orig_novh_c.1_s534933607_SR10P_src20401213_e0069.txt
policy,off,1073581256,20450765,5,20,00:07:48,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913241/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_90_0.625",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt
policy,off,1239739722,20425819,5,20,00:03:17,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:20.913253/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905447-7d9a779/snapshots/snapshot_51_0.625",/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425819_Ev_drone_drone_orig_novh_c.1_s1239739722_SR10P_src20401210_e0051.txt
