arm,value_head,seed,job_id,instance_number,instance,runtime_seconds,steps,source_log
fixed_top20,off,534933607,20451725,1,problem_1_1_2.pddl,37.24,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,2,problem_1_1_4.pddl,38.50,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,3,problem_1_8_1.pddl,42.52,23,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,7,problem_2_9_1.pddl,79.88,66,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,13,problem_6_8_1.pddl,492.83,159,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,12,problem_5_10_1.pddl,680.03,201,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,15,problem_8_1_2.pddl,104.73,50,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,16,problem_8_1_4.pddl,232.86,116,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,17,problem_8_1_5.pddl,374.27,134,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,534933607,20451725,18,problem_8_7_1.pddl,1115.75,217,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451725_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401213_e0069.txt
fixed_top20,off,1073581256,20451723,1,problem_1_1_2.pddl,44.89,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1073581256,20451723,2,problem_1_1_4.pddl,47.43,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1073581256,20451723,3,problem_1_8_1.pddl,51.46,35,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1073581256,20451723,7,problem_2_9_1.pddl,87.47,56,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1073581256,20451723,15,problem_8_1_2.pddl,130.74,62,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1073581256,20451723,16,problem_8_1_4.pddl,282.93,101,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt
fixed_top20,off,1239739722,20430058,1,problem_1_1_2.pddl,49.73,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,2,problem_1_1_4.pddl,49.98,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,3,problem_1_8_1.pddl,55.20,35,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,7,problem_2_9_1.pddl,99.69,68,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,11,problem_5_2_2.pddl,129.98,67,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,13,problem_6_8_1.pddl,756.93,167,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,12,problem_5_10_1.pddl,897.71,208,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1239739722,20430058,15,problem_8_1_2.pddl,152.57,62,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430058_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401210_e0051.txt
fixed_top20,off,1472491096,20451724,1,problem_1_1_2.pddl,40.51,4,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
fixed_top20,off,1472491096,20451724,2,problem_1_1_4.pddl,40.52,10,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
fixed_top20,off,1472491096,20451724,3,problem_1_8_1.pddl,43.75,25,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
fixed_top20,off,1472491096,20451724,7,problem_2_9_1.pddl,82.65,70,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
fixed_top20,off,1472491096,20451724,8,problem_3_3_4.pddl,227.48,109,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451724_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401212_e0092.txt
