job_id,value_head,seed,variant,policy_score,matched_top20_score,score,total,pw_minus_policy,pw_minus_top20,val_valid,val_invalid,elapsed,source_evaluation_log,source_validation_log,status
20667976,off,1963100312,safe_pw_alpha0p65,11,10,9,20,-2,-1,9,0,07:02:43,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667976_pw-safe-drone-off-1963100312-safe_pw_alpha0p65.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-off-1963100312-safe_pw_alpha0p65_20667976.out,terminal_val_confirmed
20667978,off,2011206605,safe_pw_baseline,5,7,6,20,1,-1,6,0,08:32:25,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667978_pw-safe-drone-off-2011206605-safe_pw_baseline.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-off-2011206605-safe_pw_baseline_20667978.out,terminal_val_confirmed
20667980,off,2011206605,safe_pw_alpha0p65,5,7,6,20,1,-1,6,0,07:41:23,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667980_pw-safe-drone-off-2011206605-safe_pw_alpha0p65.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-off-2011206605-safe_pw_alpha0p65_20667980.out,terminal_val_confirmed
20667981,off,2011206605,safe_pw_iter140,5,7,6,20,1,-1,6,0,08:00:46,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667981_pw-safe-drone-off-2011206605-safe_pw_iter140.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-off-2011206605-safe_pw_iter140_20667981.out,terminal_val_confirmed
20667982,on,1963100312,safe_pw_baseline,2,3,2,20,0,-1,2,0,07:15:10,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667982_pw-safe-drone-on-1963100312-safe_pw_baseline.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-1963100312-safe_pw_baseline_20667982.out,terminal_val_confirmed
20667984,on,1963100312,safe_pw_alpha0p65,2,3,3,20,1,0,3,0,01:40:24,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667984_pw-safe-drone-on-1963100312-safe_pw_alpha0p65.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-1963100312-safe_pw_alpha0p65_20667984.out,terminal_val_confirmed
20667985,on,1963100312,safe_pw_iter140,2,3,2,20,0,-1,2,0,05:43:53,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667985_pw-safe-drone-on-1963100312-safe_pw_iter140.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-1963100312-safe_pw_iter140_20667985.out,terminal_val_confirmed
20667987,on,2011206605,safe_pw_kmin3,6,8,10,20,4,2,10,0,08:24:39,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667987_pw-safe-drone-on-2011206605-safe_pw_kmin3.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-2011206605-safe_pw_kmin3_20667987.out,terminal_val_confirmed
20667988,on,2011206605,safe_pw_alpha0p65,6,8,7,20,1,-1,7,0,07:31:41,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20667988_pw-safe-drone-on-2011206605-safe_pw_alpha0p65.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-2011206605-safe_pw_alpha0p65_20667988.out,terminal_val_confirmed
20684753,on,1239739722,safe_pw_kmin3,3,6,5,20,2,-1,5,0,01:29:38,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/20684753_pw-safe-drone-on-1239739722-safe_pw_kmin3_ext.txt,/home/hersco/training_new_domains/2026-08-28/mcts_pw_safe_sensitivity/pw-safe-drone-on-1239739722-safe_pw_kmin3_ext_20684753.out,terminal_val_confirmed
