experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,instance_number,instance_path,status,elapsed_seconds,success,steps,success_le_1800s,success_le_7200s,success_le_21600s
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,1,../problems/numeric/drone/instances/problem_1_1_2.pddl,success,57.76,True,4,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,2,../problems/numeric/drone/instances/problem_1_1_4.pddl,success,60.07,True,10,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,3,../problems/numeric/drone/instances/problem_1_8_1.pddl,success,66.98,True,35,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,4,../problems/numeric/drone/instances/problem_1_9_3.pddl,unsolved,252.52,False,320,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,5,../problems/numeric/drone/instances/problem_2_5_4.pddl,unsolved,639.84,False,201,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,6,../problems/numeric/drone/instances/problem_2_8_3.pddl,unsolved,1850.73,False,395,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,7,../problems/numeric/drone/instances/problem_2_9_1.pddl,success,113.73,True,56,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,8,../problems/numeric/drone/instances/problem_3_3_4.pddl,unsolved,474.8,False,177,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,9,../problems/numeric/drone/instances/problem_4_2_5.pddl,unsolved,259.87,False,68,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,10,../problems/numeric/drone/instances/problem_4_9_5.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,11,../problems/numeric/drone/instances/problem_5_2_2.pddl,success,159.92,True,72,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,12,../problems/numeric/drone/instances/problem_5_10_1.pddl,unsolved,561.46,False,95,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,13,../problems/numeric/drone/instances/problem_6_8_1.pddl,success,805.76,True,175,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,14,../problems/numeric/drone/instances/problem_7_6_4.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,15,../problems/numeric/drone/instances/problem_8_1_2.pddl,success,131.31,True,45,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,16,../problems/numeric/drone/instances/problem_8_1_4.pddl,success,334.8,True,103,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,17,../problems/numeric/drone/instances/problem_8_1_5.pddl,success,523.1,True,130,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,18,../problems/numeric/drone/instances/problem_8_7_1.pddl,success,1443.24,True,195,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,19,../problems/numeric/drone/instances/problem_9_7_3.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,20,../problems/numeric/drone/instances/problem_10_10_3.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,1,../problems/numeric/drone/instances/problem_1_1_2.pddl,success,53.78,True,4,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,2,../problems/numeric/drone/instances/problem_1_1_4.pddl,success,51.14,True,10,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,3,../problems/numeric/drone/instances/problem_1_8_1.pddl,success,63.25,True,35,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,4,../problems/numeric/drone/instances/problem_1_9_3.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,5,../problems/numeric/drone/instances/problem_2_5_4.pddl,success,725.82,True,292,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,6,../problems/numeric/drone/instances/problem_2_8_3.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,7,../problems/numeric/drone/instances/problem_2_9_1.pddl,success,97.7,True,56,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,8,../problems/numeric/drone/instances/problem_3_3_4.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,9,../problems/numeric/drone/instances/problem_4_2_5.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,10,../problems/numeric/drone/instances/problem_4_9_5.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,11,../problems/numeric/drone/instances/problem_5_2_2.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,12,../problems/numeric/drone/instances/problem_5_10_1.pddl,unsolved,382.02,False,95,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,13,../problems/numeric/drone/instances/problem_6_8_1.pddl,success,604.57,True,175,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,14,../problems/numeric/drone/instances/problem_7_6_4.pddl,timeout,21600.0,False,-1,0,0,0
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,15,../problems/numeric/drone/instances/problem_8_1_2.pddl,success,116.52,True,45,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,16,../problems/numeric/drone/instances/problem_8_1_4.pddl,success,272.02,True,103,1,1,1
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,17,../problems/numeric/drone/instances/problem_8_1_5.pddl,success,439.04,True,130,1,1,1
