experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,job_id,slurm_state,source_log,recorded_instances,total_instances,unclassified_instances,recorded_successes,recorded_unsolved,recorded_timeouts,successes_le_1800s,successes_le_7200s,successes_le_21600s
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-physical,drone,,off,1963100312,physical,70,20688117,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-physical_20688117.out,20,20,0,10,6,4,10,10,10
MCTS-SAFE-CONTEXT,context-full-drone-off-1963100312-contextual,drone,,off,1963100312,contextual,70,20688118,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1963100312-contextual_20688118.out,20,20,0,10,1,9,10,10,10
MCTS-SAFE-CONTEXT,context-full-drone-off-2011206605-physical,drone,,off,2011206605,physical,70,20688119,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-2011206605-physical_20688119.out,20,20,0,7,9,4,7,7,7
MCTS-SAFE-CONTEXT,context-full-drone-off-2011206605-contextual,drone,,off,2011206605,contextual,70,20688120,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-2011206605-contextual_20688120.out,20,20,0,7,9,4,7,7,7
MCTS-SAFE-CONTEXT,context-full-drone-off-1073581256-physical,drone,,off,1073581256,physical,70,20688121,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1073581256-physical_20688121.out,20,20,0,7,9,4,7,7,7
MCTS-SAFE-CONTEXT,context-full-drone-off-1073581256-contextual,drone,,off,1073581256,contextual,70,20688122,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1073581256-contextual_20688122.out,20,20,0,6,7,7,6,6,6
MCTS-SAFE-CONTEXT,context-full-drone-off-1239739722-physical,drone,,off,1239739722,physical,70,20688123,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1239739722-physical_20688123.out,20,20,0,8,8,4,8,8,8
MCTS-SAFE-CONTEXT,context-full-drone-off-1239739722-contextual,drone,,off,1239739722,contextual,70,20688124,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1239739722-contextual_20688124.out,20,20,0,8,9,3,8,8,8
MCTS-SAFE-CONTEXT,context-full-drone-off-1472491096-physical,drone,,off,1472491096,physical,70,20688125,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1472491096-physical_20688125.out,20,20,0,12,4,4,12,12,12
MCTS-SAFE-CONTEXT,context-full-drone-off-1472491096-contextual,drone,,off,1472491096,contextual,70,20688126,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-off-1472491096-contextual_20688126.out,20,20,0,11,3,6,11,11,11
MCTS-SAFE-CONTEXT,context-full-drone-on-1963100312-physical,drone,,on,1963100312,physical,70,20688127,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1963100312-physical_20688127.out,20,20,0,4,12,4,4,4,4
MCTS-SAFE-CONTEXT,context-full-drone-on-1963100312-contextual,drone,,on,1963100312,contextual,70,20688128,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1963100312-contextual_20688128.out,20,20,0,3,13,4,3,3,3
MCTS-SAFE-CONTEXT,context-full-drone-on-2011206605-physical,drone,,on,2011206605,physical,70,20688129,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-2011206605-physical_20688129.out,20,20,0,13,3,4,12,13,13
MCTS-SAFE-CONTEXT,context-full-drone-on-2011206605-contextual,drone,,on,2011206605,contextual,70,20688130,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-2011206605-contextual_20688130.out,20,20,0,8,8,4,8,8,8
MCTS-SAFE-CONTEXT,context-full-drone-on-1073581256-physical,drone,,on,1073581256,physical,70,20688131,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1073581256-physical_20688131.out,20,20,0,16,0,4,15,16,16
MCTS-SAFE-CONTEXT,context-full-drone-on-1073581256-contextual,drone,,on,1073581256,contextual,70,20688132,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1073581256-contextual_20688132.out,20,20,0,15,1,4,14,15,15
MCTS-SAFE-CONTEXT,context-full-drone-on-1239739722-physical,drone,,on,1239739722,physical,70,20688133,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1239739722-physical_20688133.out,20,20,0,8,10,2,8,8,8
MCTS-SAFE-CONTEXT,context-full-drone-on-1239739722-contextual,drone,,on,1239739722,contextual,70,20688134,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1239739722-contextual_20688134.out,20,20,0,5,15,0,5,5,5
MCTS-SAFE-CONTEXT,context-full-drone-on-1472491096-physical,drone,,on,1472491096,physical,70,20688135,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1472491096-physical_20688135.out,20,20,0,13,3,4,12,13,13
MCTS-SAFE-CONTEXT,context-full-drone-on-1472491096-contextual,drone,,on,1472491096,contextual,70,20688136,COMPLETED,/home/hersco/training_new_domains/2026-08-28/mcts_safe_context_full/context-full-drone-on-1472491096-contextual_20688136.out,20,20,0,6,10,4,6,6,6
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-off-1963100312-s1,block_grouping,stage1,off,1963100312,pw_kmin3,20,20726010,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-off-1963100312-s1_20726010.out,20,20,0,15,0,5,11,15,15
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-off-2011206605-s1,block_grouping,stage1,off,2011206605,pw_kmin3,20,20726011,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-off-2011206605-s1_20726011.out,20,20,0,15,3,2,12,15,15
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-on-1963100312-s1,block_grouping,stage1,on,1963100312,pw_kmin3,20,20726012,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-on-1963100312-s1_20726012.out,20,20,0,18,0,2,13,17,18
MCTS-PW-CROSS-DOMAIN,pw-kmin3-block_grouping-on-2011206605-s1,block_grouping,stage1,on,2011206605,pw_kmin3,20,20726013,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-block_grouping-on-2011206605-s1_20726013.out,20,20,0,18,1,1,12,17,18
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-off-1963100312-s2,counters,stage2,off,1963100312,pw_kmin3,20,20726015,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-off-1963100312-s2_20726015.out,59,59,0,59,0,0,52,59,59
MCTS-PW-CROSS-DOMAIN,pw-kmin3-counters-on-2011206605-s1,counters,stage1,on,2011206605,pw_kmin3,20,20726020,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-counters-on-2011206605-s1_20726020.out,59,59,0,13,46,0,13,13,13
MCTS-PW-CROSS-DOMAIN,pw-kmin3-fo_counters-off-1963100312-s1,fo_counters,stage1,off,1963100312,pw_kmin3,70,20726022,COMPLETED,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw-kmin3-fo_counters-off-1963100312-s1_20726022.out,20,20,0,9,11,0,9,9,9
,counters-off-1963100312-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1963100312,fixed_narrow_w5,20,20649844,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649844_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430416_e0033.txt,59,59,0,49,9,1,40,49,49
,counters-off-2011206605-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,2011206605,fixed_narrow_w5,20,20649845,OUT_OF_MEMORY,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649845_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430417_e0012.txt,58,59,1,40,7,11,40,40,40
,counters-off-1073581256-stage2-mcts_eval-primary-narrow-w5-i20,counters,stage2,off,1073581256,fixed_narrow_w5,20,20649846,COMPLETED,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649846_Ev_counters_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430419_e0000.txt,59,59,0,51,7,1,51,51,51
