snapshot_at,job_id,value_head,seed,arm,classified_instances,successful_instances,node_multiplier,tracking_overflow,interpretation
2026-08-30T12:17:00+03:00,20688117,off,1963100312,physical,16,10,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688118,off,1963100312,contextual,5,5,1.211,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688119,off,2011206605,physical,16,7,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688120,off,2011206605,contextual,11,6,1.191,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688121,off,1073581256,physical,16,7,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688122,off,1073581256,contextual,3,3,1.045,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688123,off,1239739722,physical,1,0,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688124,off,1239739722,contextual,16,8,1.239,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688125,off,1472491096,physical,16,12,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688126,off,1472491096,contextual,7,5,18.481,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688127,on,1963100312,physical,16,4,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688128,on,1963100312,contextual,12,3,4.718,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688129,on,2011206605,physical,16,13,1.000,36488,diagnostic-tracking-cap-hit-physical-node-behavior-unchanged
2026-08-30T12:17:00+03:00,20688130,on,2011206605,contextual,9,4,35.886,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688131,on,1073581256,physical,15,15,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688132,on,1073581256,contextual,15,15,1.191,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688133,on,1239739722,physical,16,8,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688134,on,1239739722,contextual,16,5,1.092,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688135,on,1472491096,physical,13,11,1.000,0,partial-not-terminal
2026-08-30T12:17:00+03:00,20688136,on,1472491096,contextual,10,5,20.512,0,partial-not-terminal
