array_index,manifest_id,training_job_id,value_head,seed,anchor,source_training_log,expected_checkpoint_count,expected_validation_points,validation_module,validation_replicate,validation_instances,validation_manifest_sha256,validation_module_sha256,remote_output_dir,source_provenance
0,mprime-corrected-anchor-off-1963100312-a0,20688827,off,1963100312,0,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688827_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a0.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a0,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
1,mprime-corrected-anchor-off-1963100312-a0p03,20688828,off,1963100312,0.03,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688828_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a0p03.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a0p03,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
2,mprime-corrected-anchor-off-1963100312-a0p3,20688829,off,1963100312,0.3,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688829_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a0p3.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a0p3,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
3,mprime-corrected-anchor-off-1963100312-a1,20688830,off,1963100312,1,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688830_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a1.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a1,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
4,mprime-corrected-anchor-off-1963100312-a3,20688831,off,1963100312,3,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688831_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a3.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a3,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
5,mprime-corrected-anchor-off-1963100312-a10,20688832,off,1963100312,10,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688832_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a10.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a10,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
6,mprime-corrected-anchor-off-1963100312-a30,20688833,off,1963100312,30,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688833_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPCAT_src20618716_e0023_a30.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-1963100312-a30,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
7,mprime-corrected-anchor-off-2011206605-a0,20688834,off,2011206605,0,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688834_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a0.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a0,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
8,mprime-corrected-anchor-off-2011206605-a0p03,20688835,off,2011206605,0.03,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688835_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a0p03.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a0p03,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
9,mprime-corrected-anchor-off-2011206605-a0p3,20688836,off,2011206605,0.3,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688836_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a0p3.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a0p3,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
10,mprime-corrected-anchor-off-2011206605-a1,20688837,off,2011206605,1,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688837_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a1.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a1,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
11,mprime-corrected-anchor-off-2011206605-a3,20688838,off,2011206605,3,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688838_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a3.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a3,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
12,mprime-corrected-anchor-off-2011206605-a10,20688839,off,2011206605,10,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688839_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a10.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a10,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
13,mprime-corrected-anchor-off-2011206605-a30,20688840,off,2011206605,30,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688840_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPCAT_src20618717_e0066_a30.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-off-2011206605-a30,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
14,mprime-corrected-anchor-on-1963100312-a0,20688841,on,1963100312,0,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688841_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPCAT_src20618726_e0006_a0.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-on-1963100312-a0,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
15,mprime-corrected-anchor-on-1963100312-a0p03,20688842,on,1963100312,0.03,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688842_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPCAT_src20618726_e0006_a0p03.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-on-1963100312-a0p03,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
16,mprime-corrected-anchor-on-1963100312-a0p3,20688843,on,1963100312,0.3,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688843_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPCAT_src20618726_e0006_a0p3.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-on-1963100312-a0p3,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
17,mprime-corrected-anchor-on-1963100312-a1,20688844,on,1963100312,1,/home/hersco/training_new_domains/2026-08-29/mprime_corrected_anchor_tuning/20688844_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPCAT_src20618726_e0006_a1.txt,21,630,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,/home/hersco/training_new_domains/2026-09-12/mprime_anchor_phase_b_a/rescore/mprime-corrected-anchor-on-1963100312-a1,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_submissions.tsv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_invalid.csv
