array_index,manifest_id,value_head,seed,source_training_job_id,source_training_log,expected_checkpoint_count,validation_module,validation_replicate,validation_instances,validation_manifest_sha256,validation_module_sha256,ready_manifest,ready_manifest_sha256
0,mprime-final-s2-off-534933607-phase-b-a-rescore,off,534933607,21303717,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
1,mprime-final-s2-off-923500475-phase-b-a-rescore,off,923500475,21303718,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
2,mprime-final-s2-off-1073581256-phase-b-a-rescore,off,1073581256,21303719,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
3,mprime-final-s2-off-1239739722-phase-b-a-rescore,off,1239739722,21303720,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
4,mprime-final-s2-off-1472491096-phase-b-a-rescore,off,1472491096,21303721,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
5,mprime-final-s2-off-1510771779-phase-b-a-rescore,off,1510771779,21303722,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303722_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1510771779_K0_MPFINALV_A30_src20618723_e0010.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
6,mprime-final-s2-off-1963100312-phase-b-a-rescore,off,1963100312,21303723,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303723_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPFINALV_A30_src20618716_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
7,mprime-final-s2-off-1972442430-phase-b-a-rescore,off,1972442430,21303724,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303724_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1972442430_K0_MPFINALV_A30_src20618725_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
8,mprime-final-s2-off-2011206605-phase-b-a-rescore,off,2011206605,21303725,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303725_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPFINALV_A30_src20618717_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
9,mprime-final-s2-off-2082152039-phase-b-a-rescore,off,2082152039,21303726,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303726_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2082152039_K0_MPFINALV_A30_src20618722_e0010.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
10,mprime-final-s2-on-534933607-phase-b-a-rescore,on,534933607,21303727,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303727_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s534933607_K0_MPFINALV_A10_src20618731_e0030.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
11,mprime-final-s2-on-923500475-phase-b-a-rescore,on,923500475,21303728,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303728_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s923500475_K0_MPFINALV_A10_src20618734_e0035.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
12,mprime-final-s2-on-1073581256-phase-b-a-rescore,on,1073581256,21303729,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303729_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1073581256_K0_MPFINALV_A10_src20618728_e0015.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
13,mprime-final-s2-on-1239739722-phase-b-a-rescore,on,1239739722,21303730,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303730_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1239739722_K0_MPFINALV_A10_src20618729_e0020.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
14,mprime-final-s2-on-1472491096-phase-b-a-rescore,on,1472491096,21303731,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303731_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1472491096_K0_MPFINALV_A10_src20618730_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
15,mprime-final-s2-on-1510771779-phase-b-a-rescore,on,1510771779,21303732,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303732_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1510771779_K0_MPFINALV_A10_src20618733_e0045.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
16,mprime-final-s2-on-1963100312-phase-b-a-rescore,on,1963100312,21303733,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303733_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1963100312_K0_MPFINALV_A10_src20618726_e0006.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
17,mprime-final-s2-on-1972442430-phase-b-a-rescore,on,1972442430,21303734,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303734_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1972442430_K0_MPFINALV_A10_src20618735_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
18,mprime-final-s2-on-2011206605-phase-b-a-rescore,on,2011206605,21303735,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303735_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s2011206605_K0_MPFINALV_A10_src20618727_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
19,mprime-final-s2-on-2082152039-phase-b-a-rescore,on,2082152039,21303736,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303736_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s2082152039_K0_MPFINALV_A10_src20618732_e0005.txt,21,mprime_phase_b_20260906_0,phase_b_a,30,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142
