array_index,manifest_id,lineage_task,value_head,seed,snapshot_epoch,source_checkpoint_ref,source_checkpoint_sha256,source_training_job_id,validation_module,validation_manifest_sha256,validation_module_sha256,ready_manifest_sha256,code_commit
0,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,40,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_40_1.0000",79c3904451955d2cea44c81823394dc0e90800e41f35cc6b7f2ae407ffd24804,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
1,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,45,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_45_1.0000",64551ae21e4d78ca71c3973bfe4af6ae8704c032aeea90f2bc05a24802cd3a87,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
2,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,50,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_50_1.0000",a950873b12edd3450b584b4f2de795834e3ab5b9f2dcd8c19a63c289bf1bb966,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
3,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_55_1.0000",0731a7e9809f6e1731c32ddc66815fec1bf5be92a43a24044c0b583d51eb4908,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
4,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,60,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_60_1.0000",0e30b96a3343cd6d27f3f062d106bd33e15f19f1384cd4b7f375f88baea30ccd,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
5,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,65,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_65_1.0000",1d03012239d0941be9429eb61087b9bcf77a2e00101e248267ba81d1419e4ef8,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
6,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,70,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_70_1.0000",65fde1fee381ecd6b7e51b8385feb67e522c08405f88d20e13ba5bc074c4a981,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
7,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,75,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_75_1.0000",3f2ed64831783f215f0cde24eb0289ca567a09786068870a4118ad6c71a584f3,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
8,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,80,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_80_1.0000",e406d0a69bbef3565b8f662d56fb646031e9cf28402a70c4ef71355ef912e49a,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
9,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,85,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_85_1.0000",b0f3b285114fec0375e54f075d232475d4452eadd1a9e4ffc8eeaeb2dc5d25d1,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
