manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_checkpoint_sha256,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log,checkpoint_selection,selected_validation_score,phase_b_a_validation_summary
mprime-final-s2-off-534933607-policy-e0055,policy_eval,mprime,off,534933607,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_55_1.0000",0731a7e9809f6e1731c32ddc66815fec1bf5be92a43a24044c0b583d51eb4908,21303717,55,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,phase_b_replicate_a,28,rescore/mprime-final-s2-off-534933607-phase-b-a-rescore/epoch_55_phase_b_a.val.csv
mprime-final-s2-off-923500475-policy-e0000,policy_eval,mprime,off,923500475,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_0_1.0000",497724a893ef45ceee1721f9b5a08e6d78af9c50384070313f3afc40cfa78947,21303718,0,mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,phase_b_replicate_a,24,rescore/mprime-final-s2-off-923500475-phase-b-a-rescore/epoch_0_phase_b_a.val.csv
mprime-final-s2-off-1073581256-policy-e0035,policy_eval,mprime,off,1073581256,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:28.157558/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-1247c09/snapshots/snapshot_35_1.0000",d09e6415cb8535b5a7c7fca1701e7ab9e387077351a760235fa6e9959fbf95c8,21303719,35,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,phase_b_replicate_a,24,rescore/mprime-final-s2-off-1073581256-phase-b-a-rescore/epoch_35_phase_b_a.val.csv
mprime-final-s2-off-1239739722-policy-e0090,policy_eval,mprime,off,1239739722,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_90_1.0000",eebaf751e3d815fbed7aa05922f5c608641c2226c2b2bae85e9edb77014e9c68,21303720,90,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,phase_b_replicate_a,26,rescore/mprime-final-s2-off-1239739722-phase-b-a-rescore/epoch_90_phase_b_a.val.csv
mprime-final-s2-off-1472491096-policy-e0010,policy_eval,mprime,off,1472491096,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141049/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-43e0a7a/snapshots/snapshot_10_1.0000",462b105761d9eeeff5ad4bc95382da27e2e67f82b5cfcadebc5fa3a6be9d7133,21303721,10,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,phase_b_replicate_a,28,rescore/mprime-final-s2-off-1472491096-phase-b-a-rescore/epoch_10_phase_b_a.val.csv
mprime-final-s2-off-1510771779-policy-e0065,policy_eval,mprime,off,1510771779,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:19.777699/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-17cc32a/snapshots/snapshot_65_1.0000",61fd408a8606ec92e7c9fad35b624f89339b969294d054291cd82f171ae0b9b7,21303722,65,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303722_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1510771779_K0_MPFINALV_A30_src20618723_e0010.txt,phase_b_replicate_a,29,rescore/mprime-final-s2-off-1510771779-phase-b-a-rescore/epoch_65_phase_b_a.val.csv
mprime-final-s2-off-1963100312-policy-e0030,policy_eval,mprime,off,1963100312,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:19.777698/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-2fc32f3/snapshots/snapshot_30_1.0000",68d974e880e64ab8d9c34128f0f5ed8e645e77e899d0bf78b1b817b668fbd309,21303723,30,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303723_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1963100312_K0_MPFINALV_A30_src20618716_e0005.txt,phase_b_replicate_a,29,rescore/mprime-final-s2-off-1963100312-phase-b-a-rescore/epoch_30_phase_b_a.val.csv
mprime-final-s2-off-1972442430-policy-e0000,policy_eval,mprime,off,1972442430,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:19.777695/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-72aea46/snapshots/snapshot_0_1.0000",e518a3d8d524da5038567cfab00115a58214319d9eda4b51ac400b0c6c324180,21303724,0,mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303724_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1972442430_K0_MPFINALV_A30_src20618725_e0005.txt,phase_b_replicate_a,25,rescore/mprime-final-s2-off-1972442430-phase-b-a-rescore/epoch_0_phase_b_a.val.csv
mprime-final-s2-off-2011206605-policy-e0000,policy_eval,mprime,off,2011206605,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:14.615192/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-067843/snapshots/snapshot_0_1.0000",d627527d3264b892b4052fc3b3024c1ab914cabf0c19214bdb821d90e226b98b,21303725,0,mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303725_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2011206605_K0_MPFINALV_A30_src20618717_e0005.txt,phase_b_replicate_a,29,rescore/mprime-final-s2-off-2011206605-phase-b-a-rescore/epoch_0_phase_b_a.val.csv
mprime-final-s2-off-2082152039-policy-e0005,policy_eval,mprime,off,2082152039,stage2,ready,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:14.615190/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-faf7d6/snapshots/snapshot_5_1.0000",040fbf93ef95cb9cedab151205589945ee7cfe8eeb581b82b06f756e33bb21e9,21303726,5,mprime_final_validation_stage2_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303726_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s2082152039_K0_MPFINALV_A30_src20618722_e0010.txt,phase_b_replicate_a,28,rescore/mprime-final-s2-off-2082152039-phase-b-a-rescore/epoch_5_phase_b_a.val.csv
