"manifest_id","task_type","domain","value_head","seed","stage","status","teacher","source_checkpoint_ref","source_checkpoint_sha256","source_training_job_id","snapshot_epoch","analysis_roles","training_state","training_log"
"mprime-final-s2-off-534933607-policy-e0099","policy_eval","mprime","off","534933607","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_99_1.0000","ea396d600c258a273ce466d010510117e8fe25947d15290fe2a9494d938f2140","21303717","99","mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_final_policy","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt"
"mprime-final-s2-off-1239739722-policy-e0085","policy_eval","mprime","off","1239739722","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_85_1.0000","0d4d9fc289dc9aa7a25e8f6dc1c46b32b1d9e760900a48dbeaff3aac9bedf1ae","21303720","85","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt"
"mprime-final-s2-off-1239739722-policy-e0090","policy_eval","mprime","off","1239739722","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_90_1.0000","eebaf751e3d815fbed7aa05922f5c608641c2226c2b2bae85e9edb77014e9c68","21303720","90","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt"
"mprime-final-s2-on-923500475-policy-e0060","policy_eval","mprime","on","923500475","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:14.615194/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-5194f74/snapshots/snapshot_60_1.0000","fe36ef0f19fc2108e1d076e0d78ec06a1e6b8c02cc0ef6d8b61fd6bb576ed76d","21303728","60","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303728_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s923500475_K0_MPFINALV_A10_src20618734_e0035.txt"
"mprime-final-s2-on-1073581256-policy-e0099","policy_eval","mprime","on","1073581256","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576573/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-1247c09/snapshots/snapshot_99_1.0000","785950f1ca41ab70249c98c2671764fc1d3cde2e507d4a50e75fd5d7d6e67244","21303729","99","mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_final_policy","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303729_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1073581256_K0_MPFINALV_A10_src20618728_e0015.txt"
"mprime-final-s2-on-1239739722-policy-e0070","policy_eval","mprime","on","1239739722","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576581/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-7d9a779/snapshots/snapshot_70_1.0000","f0e49a94311bb1e9c6edf78b96ea8bae1125ff8c9bf85b6725d727283398095d","21303730","70","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303730_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1239739722_K0_MPFINALV_A10_src20618729_e0020.txt"
"mprime-final-s2-on-1239739722-policy-e0099","policy_eval","mprime","on","1239739722","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576581/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-7d9a779/snapshots/snapshot_99_1.0000","f5aec1b8a8f33377a6f428eb73736e08ab1f42f4ddbf4b9e5555f36e6f57cda8","21303730","99","mprime_final_validation_stage2_learning_curve;mprime_final_validation_stage2_final_policy","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303730_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1239739722_K0_MPFINALV_A10_src20618729_e0020.txt"
"mprime-final-s2-on-1472491096-policy-e0055","policy_eval","mprime","on","1472491096","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576578/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-43e0a7a/snapshots/snapshot_55_1.0000","f997bcfc2ed651a1f0a949d0325022d31a461fdd6287c972d625ee23a02de1e9","21303731","55","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303731_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1472491096_K0_MPFINALV_A10_src20618730_e0005.txt"
"mprime-final-s2-on-1472491096-policy-e0060","policy_eval","mprime","on","1472491096","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576578/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-43e0a7a/snapshots/snapshot_60_1.0000","32c927fecaa8884a0eab25233a63ecc58d84622cfdcca0d11ef4882e7fc2fc62","21303731","60","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303731_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1472491096_K0_MPFINALV_A10_src20618730_e0005.txt"
"mprime-final-s2-on-1472491096-policy-e0070","policy_eval","mprime","on","1472491096","stage2","ready","hmrp-ha-gbfs","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:04.576578/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-43e0a7a/snapshots/snapshot_70_1.0000","abee536a86a439bacb4cd94a7a72609e5413cdc0f52697d4ca212ed92d684a5d","21303731","70","mprime_final_validation_stage2_learning_curve","COMPLETED","/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303731_Re-Tr_mprime_mprime_mcts_orig_vh_e.5_c.1_s1472491096_K0_MPFINALV_A10_src20618730_e0005.txt"
