value_head,seed,stage2_policy,fixed_30m,fixed_2h,fixed_6h,fixed_6h_failures,fixed_failure_cause,pw70_30m,pw70_2h,pw70_6h,pw70_6h_failures,pw70_failure_cause,manifest,completion_root,reconciliation
off,534933607,18,13,16,19,1,six_hour_timeout,16,19,19,1,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,923500475,16,14,14,14,6,six_hour_timeout,14,16,16,4,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1073581256,14,14,16,17,3,six_hour_timeout,16,18,18,2,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1239739722,14,15,16,16,4,six_hour_timeout,16,17,18,2,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1472491096,15,13,16,16,4,six_hour_timeout,16,16,17,3,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1510771779,20,15,17,18,2,six_hour_timeout,17,19,19,1,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1963100312,20,15,16,16,4,six_hour_timeout,17,20,20,0,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,1972442430,17,14,15,16,4,six_hour_timeout,17,17,17,3,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,2011206605,16,16,16,16,4,six_hour_timeout,16,17,17,3,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
off,2082152039,15,13,16,18,2,six_hour_timeout,15,18,18,2,six_hour_timeout,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/manifest.csv,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a,/home/hersco/training_new_domains/2026-09-16/mprime_final_stage2_search_phase_b_a/reconciliation_20260918_v3/20260918T134314Z/reconciliation.csv
