array_index,manifest_id,experiment_id,branch,stage,checkpoint_selection,search_method,value_head,seed,selected_epoch,selected_validation_score,source_policy_job_id,source_policy_log,selected_test_policy_score,source_training_job_id,source_training_log,checkpoint,checkpoint_sha256,domain_module,architecture_module,teacher,width,iterations,puct,estimator,pw_min_width,pw_c,pw_alpha,terminal_safe,workers,cpus,memory,walltime,instance_timeout_seconds,max_external_actions,evaluation_scheduling,completion_mode,expected_test_instances,status,ready_manifest,ready_manifest_sha256,selected_policy_source,selected_policy_source_sha256
0,mprime-final-s2-off-534933607-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,534933607,0,30,21344358,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344358_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0000.txt,14,21303717,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_0_1.0000",25f7df23a6fffc36bd8fa66181229fedcf83cae2836880ac4182d081b42a2645,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
1,mprime-final-s2-off-534933607-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,534933607,0,30,21344358,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344358_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0000.txt,14,21303717,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_0_1.0000",25f7df23a6fffc36bd8fa66181229fedcf83cae2836880ac4182d081b42a2645,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
2,mprime-final-s2-off-923500475-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,923500475,0,30,21344372,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,16,21303718,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_0_1.0000",497724a893ef45ceee1721f9b5a08e6d78af9c50384070313f3afc40cfa78947,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
3,mprime-final-s2-off-923500475-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,923500475,0,30,21344372,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,16,21303718,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_0_1.0000",497724a893ef45ceee1721f9b5a08e6d78af9c50384070313f3afc40cfa78947,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
4,mprime-final-s2-off-1073581256-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1073581256,0,30,21346320,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346320_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0000.txt,13,21303719,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:28.157558/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-1247c09/snapshots/snapshot_0_1.0000",2f92a796940fc02f0897d9278a98a20f5899577d2f4a0dc0729f3a92f3ea8f22,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
5,mprime-final-s2-off-1073581256-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1073581256,0,30,21346320,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346320_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0000.txt,13,21303719,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:28.157558/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-1247c09/snapshots/snapshot_0_1.0000",2f92a796940fc02f0897d9278a98a20f5899577d2f4a0dc0729f3a92f3ea8f22,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
6,mprime-final-s2-off-1239739722-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1239739722,0,30,21349571,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21349571_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_src21303720_e0000.txt,18,21303720,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_0_1.0000",515b497df1868590c2a670bcb6843a3af646b76ad407c413ed748a1c2ff63262,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
7,mprime-final-s2-off-1239739722-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1239739722,0,30,21349571,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21349571_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_src21303720_e0000.txt,18,21303720,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_0_1.0000",515b497df1868590c2a670bcb6843a3af646b76ad407c413ed748a1c2ff63262,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
8,mprime-final-s2-off-1472491096-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1472491096,0,30,21350897,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350897_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0000.txt,18,21303721,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141049/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-43e0a7a/snapshots/snapshot_0_1.0000",08d041b9a3d93a3fbdb2421edcf737ad16e05a41dda3e4f2fe9c8c6863cb6fd9,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
9,mprime-final-s2-off-1472491096-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1472491096,0,30,21350897,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350897_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0000.txt,18,21303721,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141049/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-43e0a7a/snapshots/snapshot_0_1.0000",08d041b9a3d93a3fbdb2421edcf737ad16e05a41dda3e4f2fe9c8c6863cb6fd9,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_final_stage2_search_20260916/source_ready_manifest_20260916_1024.csv,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,experiment_tracking/mprime_final_stage2_search_20260916/selected_policy_scores_20260916_1024.txt,f6bb8357d8ee9a1904355a9eba5172a786ccc478bc40b5bb4164e641f9fec395
