array_index,manifest_id,experiment_id,branch,stage,checkpoint_selection,search_method,value_head,seed,selected_epoch,selected_validation_score,source_policy_job_id,source_policy_log,selected_test_policy_score,source_training_job_id,source_training_log,checkpoint,checkpoint_sha256,domain_module,architecture_module,teacher,width,iterations,puct,estimator,pw_min_width,pw_c,pw_alpha,terminal_safe,workers,cpus,memory,walltime,instance_timeout_seconds,max_external_actions,evaluation_scheduling,completion_mode,expected_test_instances,status,ready_manifest,ready_manifest_sha256,selected_policy_source,selected_policy_source_sha256
0,mprime-final-s2-off-534933607-e0055-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,534933607,55,28,21344371,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344371_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0055.txt,18,21303717,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_55_1.0000",0731a7e9809f6e1731c32ddc66815fec1bf5be92a43a24044c0b583d51eb4908,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344371_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0055.txt,log_identity_in_manifest
1,mprime-final-s2-off-534933607-e0055-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,534933607,55,28,21344371,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344371_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0055.txt,18,21303717,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303717_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s534933607_K0_MPFINALV_A30_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_55_1.0000",0731a7e9809f6e1731c32ddc66815fec1bf5be92a43a24044c0b583d51eb4908,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344371_Ev_mprime_mprime_mcts_orig_novh_c.1_s534933607_K0_MPFINALV_S2POL_src21303717_e0055.txt,log_identity_in_manifest
2,mprime-final-s2-off-923500475-e0000-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,923500475,0,24,21344372,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,16,21303718,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_0_1.0000",497724a893ef45ceee1721f9b5a08e6d78af9c50384070313f3afc40cfa78947,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,log_identity_in_manifest
3,mprime-final-s2-off-923500475-e0000-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,923500475,0,24,21344372,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,16,21303718,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303718_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s923500475_K0_MPFINALV_A30_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_0_1.0000",497724a893ef45ceee1721f9b5a08e6d78af9c50384070313f3afc40cfa78947,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21344372_Ev_mprime_mprime_mcts_orig_novh_c.1_s923500475_K0_MPFINALV_S2POL_src21303718_e0000.txt,log_identity_in_manifest
4,mprime-final-s2-off-1073581256-e0035-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1073581256,35,24,21346576,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346576_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0035.txt,14,21303719,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:28.157558/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-1247c09/snapshots/snapshot_35_1.0000",d09e6415cb8535b5a7c7fca1701e7ab9e387077351a760235fa6e9959fbf95c8,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346576_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0035.txt,log_identity_in_manifest
5,mprime-final-s2-off-1073581256-e0035-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1073581256,35,24,21346576,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346576_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0035.txt,14,21303719,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303719_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1073581256_K0_MPFINALV_A30_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:28.157558/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-1247c09/snapshots/snapshot_35_1.0000",d09e6415cb8535b5a7c7fca1701e7ab9e387077351a760235fa6e9959fbf95c8,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21346576_Ev_mprime_mprime_mcts_orig_novh_c.1_s1073581256_K0_MPFINALV_S2POL_src21303719_e0035.txt,log_identity_in_manifest
6,mprime-final-s2-off-1239739722-e0090-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1239739722,90,26,21389266,/home/hersco/training_new_domains/2026-09-16/mprime_final_validation_stage2_policy_1w_mprime/21389266_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_1W_src21303720_e0090.txt,14,21303720,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_90_1.0000",eebaf751e3d815fbed7aa05922f5c608641c2226c2b2bae85e9edb77014e9c68,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-16/mprime_final_validation_stage2_policy_1w_mprime/21389266_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_1W_src21303720_e0090.txt,log_identity_in_manifest
7,mprime-final-s2-off-1239739722-e0090-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1239739722,90,26,21389266,/home/hersco/training_new_domains/2026-09-16/mprime_final_validation_stage2_policy_1w_mprime/21389266_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_1W_src21303720_e0090.txt,14,21303720,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303720_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1239739722_K0_MPFINALV_A30_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141056/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-7d9a779/snapshots/snapshot_90_1.0000",eebaf751e3d815fbed7aa05922f5c608641c2226c2b2bae85e9edb77014e9c68,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-16/mprime_final_validation_stage2_policy_1w_mprime/21389266_Ev_mprime_mprime_mcts_orig_novh_c.1_s1239739722_K0_MPFINALV_S2POL_1W_src21303720_e0090.txt,log_identity_in_manifest
8,mprime-final-s2-off-1472491096-e0010-fixed20x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,fixed,off,1472491096,10,28,21350900,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350900_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0010.txt,15,21303721,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141049/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-43e0a7a/snapshots/snapshot_10_1.0000",462b105761d9eeeff5ad4bc95382da27e2e67f82b5cfcadebc5fa3a6be9d7133,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,,,,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350900_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0010.txt,log_identity_in_manifest
9,mprime-final-s2-off-1472491096-e0010-pw7020x70,MPRIME-FINAL-S2-SEARCH,validation_led,stage2,phase_b_replicate_a,pw70,off,1472491096,10,28,21350900,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350900_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0010.txt,15,21303721,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2/21303721_Re-Tr_mprime_mprime_mcts_orig_novh_e.5_c.1_s1472491096_K0_MPFINALV_A30_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T11:15:37.141049/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942469-43e0a7a/snapshots/snapshot_10_1.0000",462b105761d9eeeff5ad4bc95382da27e2e67f82b5cfcadebc5fa3a6be9d7133,experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,phase_b_a_selected_endpoints.csv,phase_b_a_selected_endpoints,/home/hersco/training_new_domains/2026-09-15/mprime_final_validation_stage2_policy_mprime/21350900_Ev_mprime_mprime_mcts_orig_novh_c.1_s1472491096_K0_MPFINALV_S2POL_src21303721_e0010.txt,log_identity_in_manifest
