recovery_index,value_head,manifest_index,seed,instance_number,source_job_id,source_attempt_log,reason
0,off,2,1073581256,10,21237382,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,OOM-before-terminal-record
1,off,2,1073581256,12,21237382,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,OOM-before-terminal-record
2,off,3,1239739722,7,21237383,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1239739722/full/attempts/21237383_r0.txt,OOM-before-terminal-record
3,off,3,1239739722,10,21237383,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1239739722/full/attempts/21237383_r0.txt,OOM-before-terminal-record
4,off,4,1472491096,6,21237384,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1472491096/full/attempts/21237384_r0.txt,OOM-before-terminal-record
5,off,6,1963100312,6,21237386,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1963100312/full/attempts/21237386_r0.txt,OOM-before-terminal-record
6,off,7,1972442430,7,21237387,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1972442430/full/attempts/21237387_r0.txt,OOM-before-terminal-record
7,off,8,2011206605,7,21237388,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/2011206605/full/attempts/21237388_r0.txt,OOM-before-terminal-record
8,on,3,1239739722,6,21237392,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/1239739722/full/attempts/21237392_r0.txt,OOM-before-terminal-record
9,on,5,1510771779,7,21237394,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/1510771779/full/attempts/21237394_r0.txt,OOM-before-terminal-record
10,on,5,1510771779,8,21237394,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/1510771779/full/attempts/21237394_r0.txt,OOM-before-terminal-record
11,on,6,1963100312,6,21237395,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/1963100312/full/attempts/21237395_r0.txt,OOM-before-terminal-record
12,on,7,1972442430,7,21237396,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/1972442430/full/attempts/21237396_r0.txt,OOM-before-terminal-record
13,on,8,2011206605,6,21237397,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/2011206605/full/attempts/21237397_r0.txt,OOM-before-terminal-record
14,on,0,534933607,10,21237389,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/on/534933607/full/attempts/21237389_r0.txt,OOM-before-terminal-record
