rq,stage,estimand,domain,cutoff,n,capacity,baseline_mean,comparison_mean,effect_solved,ci95_low_solved,ci95_high_solved,raw_p,holm_p_six_domain_extension,evidence_status,row_level_provenance,multiplicity_status
RQ2,Stage 1,VH-off direct: MCTS - same-checkpoint policy,mprime,30m,10,20,16.3,13.0,-3.3,-5.1790888670634905,-1.420911132936509,0.009765625,0.0390625,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH-on direct: MCTS - same-checkpoint policy,mprime,30m,10,20,15.7,13.3,-2.4,-4.158737279357597,-0.6412627206424029,0.0234375,0.0703125,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,30m,10,20,16.3,13.3,-3.0,-5.287154133438889,-0.7128458665611102,0.029296875,0.146484375,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,30m,10,20,-3.3,-2.4,0.9,-1.5188515009552725,3.3188515009552724,0.4609375,0.921875,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ2,Stage 1,VH-off direct: MCTS - same-checkpoint policy,mprime,2h,10,20,16.3,14.7,-1.6,-3.48362226054486,0.28362226054485973,0.11328125,0.2265625,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH-on direct: MCTS - same-checkpoint policy,mprime,2h,10,20,15.7,15.1,-0.6,-2.3261048105916604,1.1261048105916602,0.50390625,0.90625,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,2h,10,20,16.3,15.1,-1.2,-2.978029307462297,0.5780293074622973,0.20703125,0.4140625,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,2h,10,20,-1.6,-0.6,1.0,-1.6977798356959082,3.697779835695908,0.505859375,1.0,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ2,Stage 1,VH-off direct: MCTS - same-checkpoint policy,mprime,6h,10,20,16.3,15.7,-0.6,-1.9985588336774573,0.7985588336774575,0.4453125,0.5,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH-on direct: MCTS - same-checkpoint policy,mprime,6h,10,20,15.7,16.0,0.3,-1.6964596096440117,2.2964596096440117,0.828125,0.984375,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,Cross-cell level: VH-on MCTS - parallel VH-off policy,mprime,6h,10,20,16.3,16.0,-0.3,-1.8099887294687171,1.209988729468717,0.7578125,1.0,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
RQ4,Stage 1,VH interaction: VH-on MCTS benefit - VH-off MCTS benefit,mprime,6h,10,20,-0.6,0.3,0.9,-1.9102997340949983,3.710299734094998,0.611328125,1.0,complete_paired_stage1_extension,experiment_tracking\mprime_phase_b_a_stage1_mcts_20260913\results_20260914\per_seed_results.csv,provisional_six_domain_stage1_extension
