value_head,seed,selected_epoch,policy_score,instance_number,status,success_30m,success_2h,success_6h,elapsed_seconds,steps,source_job_id,source_attempt_log,source_completion_record,source_training_job_id,source_policy_job_id,checkpoint
off,1073581256,75,18.0,1,success,1,1,1,23.330963402986526,5,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,2,success,1,1,1,179.04257216397673,8,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,3,success,1,1,1,29.851967816008255,9,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,4,success,1,1,1,155.9584112931043,12,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,5,success,1,1,1,120.52404030994512,12,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,6,timeout,0,0,0,21600,,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,7,timeout,0,0,0,21600,,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,8,timeout,0,0,0,21600,,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,9,success,1,1,1,113.08735998207703,6,21237382,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/attempts/21237382_r0.txt,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_mcts/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-fixed20x70.jsonl,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1073581256,75,18.0,10,timeout,0,0,0,21600,,21253807,cluster://uni-cluster/home/hersco/training_new_domains/2026-09-14/mprime_phase_b_a_stage1_mcts_recovery/off/1073581256/smoke/attempts/21253807_r0.txt,,20618718,20668436,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
