value_head,seed,selected_epoch,policy_score,mcts_30m,mcts_2h,mcts_6h,classified,timeouts,ordinary_unsolved,missing,source_training_job_id,source_policy_job_id,source_training_log,source_policy_log,checkpoint
off,1073581256,75,18.0,12,12,14,20,6,0,0,20618718,20668436,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618718_Tr_mprime_mprime_orig_novh_c.1_s1073581256__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668436_Ev_mprime_mprime_orig_novh_c.1_s1073581256_MPCP_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750"
off,1239739722,7,18.0,13,16,16,20,4,0,0,20618719,20668441,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618719_Tr_mprime_mprime_orig_novh_c.1_s1239739722__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668441_Ev_mprime_mprime_orig_novh_c.1_s1239739722_MPCP_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145394/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-7d9a779/snapshots/snapshot_7_0.750"
off,1472491096,41,14.0,12,13,15,20,5,0,0,20618720,20668461,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618720_Tr_mprime_mprime_orig_novh_c.1_s1472491096__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668461_Ev_mprime_mprime_orig_novh_c.1_s1472491096_MPCP_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.804337/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-43e0a7a/snapshots/snapshot_41_0.750"
off,1510771779,10,15.0,14,15,15,20,5,0,0,20618723,20668503,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618723_Tr_mprime_mprime_orig_novh_c.1_s1510771779__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668503_Ev_mprime_mprime_orig_novh_c.1_s1510771779_MPCP_src20618723_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184158/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-17cc32a/snapshots/snapshot_10_0.750"
off,1963100312,5,20.0,14,16,18,20,2,0,0,20618716,20668390,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618716_Tr_mprime_mprime_orig_novh_c.1_s1963100312__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668390_Ev_mprime_mprime_orig_novh_c.1_s1963100312_MPCP_src20618716_e0005.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:28.216357/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-2fc32f3/snapshots/snapshot_5_0.750"
off,1972442430,5,18.0,12,14,17,20,3,0,0,20618725,20668536,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618725_Tr_mprime_mprime_orig_novh_c.1_s1972442430__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668536_Ev_mprime_mprime_orig_novh_c.1_s1972442430_MPCP_src20618725_e0005.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.307645/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-72aea46/snapshots/snapshot_5_0.750"
off,2011206605,5,13.0,15,16,16,20,4,0,0,20618717,20668406,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618717_Tr_mprime_mprime_orig_novh_c.1_s2011206605__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668406_Ev_mprime_mprime_orig_novh_c.1_s2011206605_MPCP_src20618717_e0005.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:20.629844/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-067843/snapshots/snapshot_5_0.750"
off,2082152039,10,15.0,13,16,16,20,4,0,0,20618722,20668489,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618722_Tr_mprime_mprime_orig_novh_c.1_s2082152039__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668489_Ev_mprime_mprime_orig_novh_c.1_s2082152039_MPCP_src20618722_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184116/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-faf7d6/snapshots/snapshot_10_0.750"
off,534933607,10,15.0,11,14,14,20,6,0,0,20618721,20668474,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618721_Tr_mprime_mprime_orig_novh_c.1_s534933607__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668474_Ev_mprime_mprime_orig_novh_c.1_s534933607_MPCP_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.804336/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-3c74d66/snapshots/snapshot_10_0.750"
off,923500475,20,17.0,14,15,16,20,4,0,0,20618724,20668523,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618724_Tr_mprime_mprime_orig_novh_c.1_s923500475__MPRIME_VAL_V1_S1.txt,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668523_Ev_mprime_mprime_orig_novh_c.1_s923500475_MPCP_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184165/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-5194f74/snapshots/snapshot_20_0.750"
