array_index,manifest_id,experiment_id,branch,stage,checkpoint_selection,value_head,seed,selected_epoch,selected_validation_score,selected_test_policy_score,source_training_job_id,source_training_log,source_policy_job_id,source_policy_log,checkpoint,domain_module,architecture_module,teacher,width,iterations,puct,estimator,pw_min_width,pw_c,pw_alpha,terminal_safe,workers,cpus,memory,walltime,instance_timeout_seconds,max_external_actions,evaluation_scheduling,completion_mode,expected_test_instances,status,source_fixed_manifest,source_fixed_manifest_sha256,selector_source,selector_sha256,checkpoint_score_source,checkpoint_score_sha256
0,mprime-s1-phase-b-a-off-534933607-e0010-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,534933607,10,26,15.0,20618721,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618721_Tr_mprime_mprime_orig_novh_c.1_s534933607__MPRIME_VAL_V1_S1.txt,20668474,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668474_Ev_mprime_mprime_orig_novh_c.1_s534933607_MPCP_src20618721_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.804336/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-3c74d66/snapshots/snapshot_10_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
1,mprime-s1-phase-b-a-off-923500475-e0020-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,923500475,20,29,17.0,20618724,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618724_Tr_mprime_mprime_orig_novh_c.1_s923500475__MPRIME_VAL_V1_S1.txt,20668523,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668523_Ev_mprime_mprime_orig_novh_c.1_s923500475_MPCP_src20618724_e0020.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184165/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-5194f74/snapshots/snapshot_20_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
2,mprime-s1-phase-b-a-off-1073581256-e0075-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,1073581256,75,23,18.0,20618718,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618718_Tr_mprime_mprime_orig_novh_c.1_s1073581256__MPRIME_VAL_V1_S1.txt,20668436,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668436_Ev_mprime_mprime_orig_novh_c.1_s1073581256_MPCP_src20618718_e0075.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145359/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-1247c09/snapshots/snapshot_75_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
3,mprime-s1-phase-b-a-off-1239739722-e0007-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,1239739722,7,26,18.0,20618719,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618719_Tr_mprime_mprime_orig_novh_c.1_s1239739722__MPRIME_VAL_V1_S1.txt,20668441,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668441_Ev_mprime_mprime_orig_novh_c.1_s1239739722_MPCP_src20618719_e0007.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:13.145394/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-7d9a779/snapshots/snapshot_7_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
4,mprime-s1-phase-b-a-off-1472491096-e0041-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,1472491096,41,26,14.0,20618720,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618720_Tr_mprime_mprime_orig_novh_c.1_s1472491096__MPRIME_VAL_V1_S1.txt,20668461,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668461_Ev_mprime_mprime_orig_novh_c.1_s1472491096_MPCP_src20618720_e0041.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.804337/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-43e0a7a/snapshots/snapshot_41_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
5,mprime-s1-phase-b-a-off-1510771779-e0010-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,1510771779,10,29,15.0,20618723,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618723_Tr_mprime_mprime_orig_novh_c.1_s1510771779__MPRIME_VAL_V1_S1.txt,20668503,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668503_Ev_mprime_mprime_orig_novh_c.1_s1510771779_MPCP_src20618723_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184158/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-17cc32a/snapshots/snapshot_10_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
6,mprime-s1-phase-b-a-off-1972442430-e0005-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,1972442430,5,27,18.0,20618725,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618725_Tr_mprime_mprime_orig_novh_c.1_s1972442430__MPRIME_VAL_V1_S1.txt,20668536,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668536_Ev_mprime_mprime_orig_novh_c.1_s1972442430_MPCP_src20618725_e0005.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:03.307645/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-72aea46/snapshots/snapshot_5_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
7,mprime-s1-phase-b-a-off-2082152039-e0010-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,off,2082152039,10,28,15.0,20618722,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618722_Tr_mprime_mprime_orig_novh_c.1_s2082152039__MPRIME_VAL_V1_S1.txt,20668489,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668489_Ev_mprime_mprime_orig_novh_c.1_s2082152039_MPCP_src20618722_e0010.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:31.184116/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-faf7d6/snapshots/snapshot_10_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_off.csv,24fed8329ec6e526645ec561a612ee0913a51fff56d78ccc909aaf88bab099f5,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
8,mprime-s1-phase-b-a-on-534933607-e0030-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,on,534933607,30,25,17.0,20618731,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618731_Tr_mprime_mprime_orig_vh_c.1_s534933607__MPRIME_VAL_V1_S1.txt,20668656,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668656_Ev_mprime_mprime_orig_vh_c.1_s534933607_MPCP_src20618731_e0030.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:28:36.642522/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915062-3c74d66/snapshots/snapshot_30_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_on.csv,04602da719262b29c977632175e4e0d206fbde3d143e78fc7ddc7164770163ab,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
9,mprime-s1-phase-b-a-on-923500475-e0035-pw70-k3,MPRIME-PBA-S1-PW-SCREEN,stage1,stage1,phase_b_replicate_a,on,923500475,35,23,14.0,20618734,/home/hersco/training_new_domains/2026-08-27/mprime_validation_ipc_scale_v1_stage1/20618734_Tr_mprime_mprime_orig_vh_c.1_s923500475__MPRIME_VAL_V1_S1.txt,20668739,/home/hersco/training_new_domains/2026-08-28/mprime_corrected_stage1_policy/20668739_Ev_mprime_mprime_orig_vh_c.1_s923500475_MPCP_src20618734_e0035.txt,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:22:16.868149/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915056-5194f74/snapshots/snapshot_35_0.750",experiments_numeric.domain.mprime,experiments_numeric.architecture_2.mprime_mcts,hmrp-ha-gbfs,20,70,0.1,0.5,3,0.6,0.5,false,3,6,120G,3-00:00:00,21600,10000,rolling,identity_jsonl+attempt_VAL,20,ready_not_submitted,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_on.csv,04602da719262b29c977632175e4e0d206fbde3d143e78fc7ddc7164770163ab,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_selector_comparison_latest.csv,140e60edb050337504a384001f0018919cf9ba54cb99e49e6d0b1a2637cc0aec,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,2b055d958a68420079066a2e0ccffe0d91b522552aaadfdc4f925687e89e38dc
