value_head,seed,selected_epoch,policy_score,fixed_30m,fixed_2h,fixed_6h,pw70_30m,pw70_2h,pw70_6h,pw70_final,expected_instances,declared_result_status,job_id,local_stdout_log,remote_stdout_log,local_completion_ledger,remote_completion_ledger,fixed_seed_source
off,534933607,10,15.0,11,14,14,15,17,18,18,20,complete_terminal_20_instance_denominator,21259752_0,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259752_0.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259752_0.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-534933607-e0010-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/534933607/full/completion/mprime-s1-phase-b-a-off-534933607-e0010-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,923500475,20,17.0,14,15,16,16,19,19,19,20,complete_terminal_20_instance_denominator,21259752_1,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259752_1.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259752_1.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-923500475-e0020-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/923500475/full/completion/mprime-s1-phase-b-a-off-923500475-e0020-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1073581256,75,18.0,12,12,14,14,16,16,16,20,complete_terminal_20_instance_denominator,21259752_2,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259752_2.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259752_2.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1073581256-e0075-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1073581256/full/completion/mprime-s1-phase-b-a-off-1073581256-e0075-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1239739722,7,18.0,13,16,16,16,17,17,17,20,complete_terminal_20_instance_denominator,21259752_3,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259752_3.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259752_3.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1239739722-e0007-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1239739722/full/completion/mprime-s1-phase-b-a-off-1239739722-e0007-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1472491096,41,14.0,12,13,15,16,17,17,17,20,complete_terminal_20_instance_denominator,21259753_0,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259753_0.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259753_0.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1472491096-e0041-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1472491096/full/completion/mprime-s1-phase-b-a-off-1472491096-e0041-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1510771779,10,15.0,14,15,15,15,19,19,19,20,complete_terminal_20_instance_denominator,21259753_1,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259753_1.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259753_1.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1510771779-e0010-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1510771779/full/completion/mprime-s1-phase-b-a-off-1510771779-e0010-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1963100312,5,20.0,14,16,18,17,20,20,20,20,complete_terminal_20_instance_denominator,21240256_0,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21240256_0.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21240256_0.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1963100312-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1963100312/full/completion/mprime-s1-phase-b-a-off-1963100312-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,1972442430,5,18.0,12,14,17,16,17,17,17,20,complete_terminal_20_instance_denominator,21259753_2,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259753_2.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259753_2.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-1972442430-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/1972442430/full/completion/mprime-s1-phase-b-a-off-1972442430-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,2011206605,5,13.0,15,16,16,16,17,17,17,20,complete_terminal_20_instance_denominator,21240256_1,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21240256_1.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21240256_1.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-2011206605-e0005-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/2011206605/full/completion/mprime-s1-phase-b-a-off-2011206605-e0005-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
off,2082152039,10,15.0,13,16,16,16,17,17,17,20,complete_terminal_20_instance_denominator,21259753_3,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_stdout_logs/21259753_3.out,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/slurm/21259753_3.out,experiment_tracking/mprime_phase_b_a_stage1_pw70_20260913/local_completion_ledgers/off/mprime-s1-phase-b-a-off-2082152039-e0010-pw70-k3.jsonl,/home/hersco/training_new_domains/2026-09-13/mprime_phase_b_a_stage1_pw70/off/2082152039/full/completion/mprime-s1-phase-b-a-off-2082152039-e0010-pw70-k3.jsonl,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/results_20260914/per_seed_results.csv
