experiment_id,comparison,domain,value_head,seed,before_score,after_score,difference,before_training_job,before_evaluation_job,before_log,after_training_job,after_evaluation_job,after_log
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,534933607,17.0,17.0,0.0,20401192,20425164,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425164_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10P_src20401192_e0012.txt,20430360,20488009,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488009_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10P_src20430360_e0010.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,923500475,16.0,15.0,-1.0,20401195,20425208,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425208_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10P_src20401195_e0008.txt,20430363,20488096,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488096_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10P_src20430363_e0002.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1073581256,15.0,17.0,2.0,20401189,20424895,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,20430357,20487962,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487962_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20430357_e0007.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1239739722,17.0,17.0,0.0,20401190,20425135,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425135_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10P_src20401190_e0027.txt,20430358,20487984,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487984_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10P_src20430358_e0004.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1472491096,15.0,15.0,0.0,20401191,20425141,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425141_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0030.txt,20430359,20488006,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488006_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20430359_e0002.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1510771779,18.0,17.0,-1.0,20401194,20425196,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425196_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10P_src20401194_e0034.txt,20430362,20488074,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488074_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10P_src20430362_e0008.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1963100312,18.0,15.0,-3.0,20401187,20424828,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,20430354,20487884,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487884_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20430354_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,1972442430,17.0,17.0,0.0,20401196,20425222,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425222_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10P_src20401196_e0017.txt,20430364,20489063,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20489063_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10P_src20430364_e0002.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,2011206605,15.0,15.0,0.0,20401188,20424847,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424847_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0040.txt,20430355,20487905,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20487905_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20430355_e0000.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,off,2082152039,15.0,15.0,0.0,20401193,20425179,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425179_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10P_src20401193_e0018.txt,20430361,20488049,/home/hersco/training_new_domains/2026-08-22/statistical_replication_stage2_policy_eval/20488049_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10P_src20430361_e0002.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,534933607,17.0,11.0,-6.0,20401182,20424573,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424573_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20401182_e0019.txt,20430349,20523045,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523045_Ev_block_grouping_block_grouping_orig_vh_c.1_s534933607_SR10P_src20430349_e0055.txt
MAIN-VAL,S1 validation-selected -> S2 validation-selected,block_grouping,on,923500475,17.0,11.0,-6.0,20401185,20424731,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424731_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10P_src20401185_e0020.txt,20430352,20523154,/home/hersco/training_new_domains/2026-08-24/statistical_replication_stage2_policy_eval/20523154_Ev_block_grouping_block_grouping_orig_vh_c.1_s923500475_SR10P_src20430352_e0038.txt
