action_time,experiment_id,source_job_id,recovery_job_id,action,outcome,source_or_output
2026-09-01T14:55:39+03:00,PRESERVE-3-TERM,20812836,20812836,release_operational_hold,running,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812836_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s2082152039_K0_P3T_zenotravel_off_src20755776_e0045.txt
2026-09-01T14:56:40+03:00,PRESERVE-3-TERM,20755722,20821028,resume_delivery_stage2_from_snapshot87,running,/home/hersco/training_new_domains/2026-09-01/preserve3_terminal_delivery_stage2/20821028_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1239739722_K0_P3TERMS2A30_CONT87_src20755722.txt
2026-09-01T14:58:00+03:00,PRESERVE-3-TERM,20755722,20821013,cancel_wrong_vh_continuation,cancelled_before_start,no_compute_or_result
2026-09-01T15:02:45+03:00,MPRIME-ANCHOR-CORRECTED-VAL,,20821229_4,resume_missing_validation_points,running,/home/hersco/training_new_domains/2026-08-31/mprime_anchor_corrected_validation/rescore_cont_20821229_4.log
2026-09-01T15:02:45+03:00,MPRIME-ANCHOR-CORRECTED-VAL,,20821229_15,resume_missing_validation_points,running,/home/hersco/training_new_domains/2026-08-31/mprime_anchor_corrected_validation/rescore_cont_20821229_15.log
2026-09-01T15:02:45+03:00,MPRIME-ANCHOR-CORRECTED-VAL,,20821230,resume_missing_validation_points,failed_SIGILL_on_ise_cpu_intl_13,/home/hersco/training_new_domains/2026-08-31/mprime_anchor_corrected_validation/rescore_cont_20821229_0.log
2026-09-01T15:08:00+03:00,MPRIME-ANCHOR-CORRECTED-VAL,20821230,20821691,resubmit_index0_on_working_node_family,running,/home/hersco/training_new_domains/2026-08-31/mprime_anchor_corrected_validation/rescore_cont2_20821691_0.log
2026-09-01T15:04:53+03:00,PRESERVE-4,20684890,20821306,materialize_timeout_fallback,controller_completed_17_policy_jobs_submitted,/home/hersco/training_new_domains/2026-08-31/preserve4_confirmation_policy
2026-09-01T15:09:00+03:00,MCTS-LEGACY-ROVER,20559583,20821803,deduplicate_retry_plans_and_posthoc_VAL,completed_5_of_5_unique_plans_valid,/home/hersco/training_new_domains/2026-09-01/rover_retry_posthoc_val/20559583_summary.csv
2026-09-01T15:09:00+03:00,MCTS-DETERMINISM-AUDIT,,20821796,submit_horizon_causal_preflight,running,/home/hersco/training_new_domains/2026-09-01/mcts_horizon_determinism_causal/preflight_20821796.out
2026-09-01T15:09:00+03:00,MCTS-DETERMINISM-AUDIT,20821796,20821797-20821802,submit_matched_aware_unaware_repeats,dependency_pending,/home/hersco/training_new_domains/2026-09-01/mcts_horizon_determinism_causal/submissions.tsv
