snapshot_time,experiment_id,component,job_id,manifest_id,domain,value_head,seed,expected_pre_outage_state,cpus,memory_gib,time_limit,artifact_kind,evidence_source,recovery_policy,notes
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755719,preserve3-term-delivery-off-534933607-a30,delivery,off,534933607,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755720,preserve3-term-delivery-off-923500475-a30,delivery,off,923500475,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755721,preserve3-term-delivery-off-1073581256-a30,delivery,off,1073581256,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755722,preserve3-term-delivery-off-1239739722-a30,delivery,off,1239739722,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755723,preserve3-term-delivery-off-1472491096-a30,delivery,off,1472491096,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755725,preserve3-term-delivery-off-1510771779-a30,delivery,off,1510771779,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755726,preserve3-term-delivery-off-1963100312-a30,delivery,off,1963100312,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755727,preserve3-term-delivery-off-1972442430-a30,delivery,off,1972442430,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755728,preserve3-term-delivery-off-2011206605-a30,delivery,off,2011206605,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755729,preserve3-term-delivery-off-2082152039-a30,delivery,off,2082152039,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755730,preserve3-term-delivery-on-534933607-a30,delivery,on,534933607,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755731,preserve3-term-delivery-on-923500475-a30,delivery,on,923500475,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755732,preserve3-term-delivery-on-1073581256-a30,delivery,on,1073581256,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755734,preserve3-term-delivery-on-1239739722-a30,delivery,on,1239739722,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755735,preserve3-term-delivery-on-1472491096-a30,delivery,on,1472491096,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755736,preserve3-term-delivery-on-1510771779-a30,delivery,on,1510771779,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755737,preserve3-term-delivery-on-1963100312-a30,delivery,on,1963100312,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755738,preserve3-term-delivery-on-1972442430-a30,delivery,on,1972442430,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755739,preserve3-term-delivery-on-2011206605-a30,delivery,on,2011206605,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755740,preserve3-term-delivery-on-2082152039-a30,delivery,on,2082152039,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755741,preserve3-term-tpp-off-534933607-a3,tpp,off,534933607,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755743,preserve3-term-tpp-off-923500475-a3,tpp,off,923500475,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755744,preserve3-term-tpp-off-1073581256-a3,tpp,off,1073581256,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755745,preserve3-term-tpp-off-1239739722-a3,tpp,off,1239739722,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM,stage2_training,20755746,preserve3-term-tpp-off-1472491096-a3,tpp,off,1472491096,campaign_mixed:21_terminal/39_running,6,48,3-00:00:00,training,experiment_tracking\four_domain_preservation\terminal_stage2_submissions.tsv,preserve_terminal_or_resume_from_latest_checkpoint,Query every ID; do not infer its individual state from submission order.
