manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-delivery-off-1073581256-a30-policy-e0050,policy_eval,delivery,off,1073581256,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:38:18.387683/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920232-1247c09/snapshots/snapshot_50_1.0000",20755721,50,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755721_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1073581256_K0_P3TERMS2A30_src20522926.txt
preserve3-term-delivery-off-1472491096-a30-policy-e0009,policy_eval,delivery,off,1472491096,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:40:28.157275/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920234-43e0a7a/snapshots/snapshot_9_1.0000",20755723,9,preserve3_term_delivery_off_learning_curve;preserve3_term_delivery_off_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755723_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s1472491096_K0_P3TERMS2A30_src20522932.txt
preserve3-term-delivery-off-923500475-a30-policy-e0085,policy_eval,delivery,off,923500475,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:17.061942/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-5194f74/snapshots/snapshot_85_1.0000",20755720,85,preserve3_term_delivery_off_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755720_Re-Tr_delivery_delivery_mcts_orig_novh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20522942.txt
preserve3-term-delivery-on-1073581256-a30-policy-e0000,policy_eval,delivery,on,1073581256,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:48:59.731438/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920243-1247c09/snapshots/snapshot_0_1.0000",20755732,0,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755732_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1073581256_K0_P3TERMS2A30_src20522915.txt
preserve3-term-delivery-on-1239739722-a30-policy-e0003,policy_eval,delivery,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:52:26.049968/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920246-7d9a779/snapshots/snapshot_3_1.0000",20755734,3,preserve3_term_delivery_on_learning_curve;preserve3_term_delivery_on_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755734_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20522916.txt
preserve3-term-delivery-on-1239739722-a30-policy-e0005,policy_eval,delivery,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:52:26.049968/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920246-7d9a779/snapshots/snapshot_5_1.0000",20755734,5,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755734_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20522916.txt
preserve3-term-delivery-on-1239739722-a30-policy-e0045,policy_eval,delivery,on,1239739722,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:52:26.049968/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920246-7d9a779/snapshots/snapshot_45_1.0000",20755734,45,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755734_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1239739722_K0_P3TERMS2A30_src20522916.txt
preserve3-term-delivery-on-1510771779-a30-policy-e0050,policy_eval,delivery,on,1510771779,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:54:45.044671/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920248-17cc32a/snapshots/snapshot_50_1.0000",20755736,50,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755736_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s1510771779_K0_P3TERMS2A30_src20522920.txt
preserve3-term-delivery-on-923500475-a30-policy-e0070,policy_eval,delivery,on,923500475,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:48:44.142983/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920243-5194f74/snapshots/snapshot_70_1.0000",20755731,70,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755731_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20522921.txt
preserve3-term-delivery-on-923500475-a30-policy-e0085,policy_eval,delivery,on,923500475,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:48:44.142983/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920243-5194f74/snapshots/snapshot_85_1.0000",20755731,85,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755731_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s923500475_K0_P3TERMS2A30_src20522921.txt
