experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-delivery-off-1073581256-a30-policy-e0050,delivery,stage2,off,1073581256,pw_kmin3,,,,20892672,20755721,50,preserve3_term_delivery_off_learning_curve,COMPLETED,00:04:27,20.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892672_Ev_delivery_delivery_mcts_orig_novh_c.1_s1073581256_K0_P4DELIVERYS2P_src20755721_e0050.txt
,preserve3-term-delivery-off-1472491096-a30-policy-e0009,delivery,stage2,off,1472491096,pw_kmin3,,,,20892673,20755723,9,preserve3_term_delivery_off_learning_curve;preserve3_term_delivery_off_validation_selected_policy,COMPLETED,00:19:50,17.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892673_Ev_delivery_delivery_mcts_orig_novh_c.1_s1472491096_K0_P4DELIVERYS2P_src20755723_e0009.txt
,preserve3-term-delivery-off-923500475-a30-policy-e0085,delivery,stage2,off,923500475,pw_kmin3,,,,20892674,20755720,85,preserve3_term_delivery_off_learning_curve,COMPLETED,00:25:31,15.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892674_Ev_delivery_delivery_mcts_orig_novh_c.1_s923500475_K0_P4DELIVERYS2P_src20755720_e0085.txt
,preserve3-term-delivery-on-1073581256-a30-policy-e0000,delivery,stage2,on,1073581256,pw_kmin3,,,,20892675,20755732,0,preserve3_term_delivery_on_learning_curve,COMPLETED,00:09:42,18.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892675_Ev_delivery_delivery_mcts_orig_vh_c.1_s1073581256_K0_P4DELIVERYS2P_src20755732_e0000.txt
,preserve3-term-delivery-on-1239739722-a30-policy-e0003,delivery,stage2,on,1239739722,pw_kmin3,,,,20892676,20755734,3,preserve3_term_delivery_on_learning_curve;preserve3_term_delivery_on_validation_selected_policy,COMPLETED,00:19:21,15.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892676_Ev_delivery_delivery_mcts_orig_vh_c.1_s1239739722_K0_P4DELIVERYS2P_src20755734_e0003.txt
,preserve3-term-delivery-on-1239739722-a30-policy-e0005,delivery,stage2,on,1239739722,pw_kmin3,,,,20892677,20755734,5,preserve3_term_delivery_on_learning_curve,COMPLETED,00:22:50,13.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892677_Ev_delivery_delivery_mcts_orig_vh_c.1_s1239739722_K0_P4DELIVERYS2P_src20755734_e0005.txt
,preserve3-term-delivery-on-1239739722-a30-policy-e0045,delivery,stage2,on,1239739722,pw_kmin3,,,,20892678,20755734,45,preserve3_term_delivery_on_learning_curve,COMPLETED,00:21:38,11.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892678_Ev_delivery_delivery_mcts_orig_vh_c.1_s1239739722_K0_P4DELIVERYS2P_src20755734_e0045.txt
,preserve3-term-delivery-on-1510771779-a30-policy-e0050,delivery,stage2,on,1510771779,pw_kmin3,,,,20892679,20755736,50,preserve3_term_delivery_on_learning_curve,COMPLETED,00:08:31,18.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892679_Ev_delivery_delivery_mcts_orig_vh_c.1_s1510771779_K0_P4DELIVERYS2P_src20755736_e0050.txt
,preserve3-term-delivery-on-923500475-a30-policy-e0070,delivery,stage2,on,923500475,pw_kmin3,,,,20892680,20755731,70,preserve3_term_delivery_on_learning_curve,COMPLETED,00:18:46,14.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892680_Ev_delivery_delivery_mcts_orig_vh_c.1_s923500475_K0_P4DELIVERYS2P_src20755731_e0070.txt
,preserve3-term-delivery-on-923500475-a30-policy-e0085,delivery,stage2,on,923500475,pw_kmin3,,,,20892681,20755731,85,preserve3_term_delivery_on_learning_curve,COMPLETED,00:21:32,13.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892681_Ev_delivery_delivery_mcts_orig_vh_c.1_s923500475_K0_P4DELIVERYS2P_src20755731_e0085.txt
,preserve3-term-delivery-on-923500475-a30-policy-e0090,delivery,stage2,on,923500475,pw_kmin3,,,,20892682,20755731,90,preserve3_term_delivery_on_learning_curve,COMPLETED,00:21:12,14.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892682_Ev_delivery_delivery_mcts_orig_vh_c.1_s923500475_K0_P4DELIVERYS2P_src20755731_e0090.txt
,preserve3-term-delivery-on-923500475-a30-policy-e0099,delivery,stage2,on,923500475,pw_kmin3,,,,20892683,20755731,99,preserve3_term_delivery_on_learning_curve;preserve3_term_delivery_on_final_policy,COMPLETED,00:21:59,14.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892683_Ev_delivery_delivery_mcts_orig_vh_c.1_s923500475_K0_P4DELIVERYS2P_src20755731_e0099.txt
