manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-delivery-on-534933607-a30-policy-e0000,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_0_1.0000",20755730,0,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0005,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_5_1.0000",20755730,5,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0010,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_10_1.0000",20755730,10,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0015,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_15_1.0000",20755730,15,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0020,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_20_1.0000",20755730,20,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0025,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_25_1.0000",20755730,25,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0030,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_30_1.0000",20755730,30,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0035,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_35_1.0000",20755730,35,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0040,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_40_1.0000",20755730,40,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
preserve3-term-delivery-on-534933607-a30-policy-e0045,policy_eval,delivery,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:46:28.312440/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920240-3c74d66/snapshots/snapshot_45_1.0000",20755730,45,preserve3_term_delivery_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_delivery_stage2/20755730_Re-Tr_delivery_delivery_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A30_src20522918.txt
