manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0000,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_0_1.0000",20755777,0,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0005,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_5_1.0000",20755777,5,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0010,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_10_1.0000",20755777,10,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0015,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_15_1.0000",20755777,15,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0020,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_20_1.0000",20755777,20,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0025,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_25_1.0000",20755777,25,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0030,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_30_1.0000",20755777,30,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0035,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_35_1.0000",20755777,35,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0040,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_40_1.0000",20755777,40,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
preserve3-term-zenotravel-on-534933607-a0p3-policy-e0045,policy_eval,zenotravel,on,534933607,stage2,ready,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.zenotravel-experiments_numeric.architecture_2.zenotravel_mcts-2026-08-31T22:24:50.537511/P[domain,pfile1,pfile2,pfile3,pfile4,pfile5,pfile6]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04921538-3c74d66/snapshots/snapshot_45_1.0000",20755777,45,preserve3_term_zenotravel_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_zenotravel_stage2/20755777_Re-Tr_zenotravel_zenotravel_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A0p3_src20523080.txt
