experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-delivery-off-534933607-a30-policy-e0000,delivery,stage2,off,534933607,pw_kmin3,,,,20859881,20755719,0,preserve3_term_delivery_off_learning_curve,COMPLETED,00:23:05,12.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859881_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0000.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0005,delivery,stage2,off,534933607,pw_kmin3,,,,20859883,20755719,5,preserve3_term_delivery_off_learning_curve,COMPLETED,00:20:24,13.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859883_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0005.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0010,delivery,stage2,off,534933607,pw_kmin3,,,,20859885,20755719,10,preserve3_term_delivery_off_learning_curve,COMPLETED,00:19:29,13.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859885_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0010.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0015,delivery,stage2,off,534933607,pw_kmin3,,,,20859887,20755719,15,preserve3_term_delivery_off_learning_curve,COMPLETED,00:27:03,15.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859887_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0015.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0020,delivery,stage2,off,534933607,pw_kmin3,,,,20859889,20755719,20,preserve3_term_delivery_off_learning_curve,COMPLETED,00:25:45,11.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859889_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0020.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0025,delivery,stage2,off,534933607,pw_kmin3,,,,20859891,20755719,25,preserve3_term_delivery_off_learning_curve,COMPLETED,00:19:41,15.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859891_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0025.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0030,delivery,stage2,off,534933607,pw_kmin3,,,,20859893,20755719,30,preserve3_term_delivery_off_learning_curve,COMPLETED,00:16:59,14.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859893_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0030.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0035,delivery,stage2,off,534933607,pw_kmin3,,,,20859895,20755719,35,preserve3_term_delivery_off_learning_curve;preserve3_term_delivery_off_validation_selected_policy,COMPLETED,00:17:35,15.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859895_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0035.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0040,delivery,stage2,off,534933607,pw_kmin3,,,,20859897,20755719,40,preserve3_term_delivery_off_learning_curve,COMPLETED,00:20:07,14.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859897_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0040.txt
,preserve3-term-delivery-off-534933607-a30-policy-e0045,delivery,stage2,off,534933607,pw_kmin3,,,,20859899,20755719,45,preserve3_term_delivery_off_learning_curve,COMPLETED,00:18:54,14.0,20,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859899_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0045.txt
