experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-zenotravel-off-534933607-a30-policy-e0000,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812619,20755764,0,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:10:59,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812619_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0000.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0005,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812620,20755764,5,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:09:51,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812620_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0005.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0010,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812621,20755764,10,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:09:48,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812621_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0010.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0015,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812622,20755764,15,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:12:05,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812622_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0015.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0020,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812623,20755764,20,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:10:07,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812623_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0020.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0025,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812624,20755764,25,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:11:29,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812624_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0025.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0030,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812625,20755764,30,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:11:28,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812625_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0030.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0035,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812626,20755764,35,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:10:00,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812626_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0035.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0040,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812627,20755764,40,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:10:29,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812627_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0040.txt
,preserve3-term-zenotravel-off-534933607-a30-policy-e0045,zenotravel,stage2,off,534933607,pw_kmin3,,,,20812628,20755764,45,preserve3_term_zenotravel_off_learning_curve,COMPLETED,00:11:06,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_off_zenotravel/20812628_Ev_zenotravel_zenotravel_mcts_orig_novh_c.1_s534933607_K0_P3T_zenotravel_off_src20755764_e0045.txt
