experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0000,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827226,20755777,0,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:13:36,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827226_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0000.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0005,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827227,20755777,5,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:12:00,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827227_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0005.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0010,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827228,20755777,10,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:13:01,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827228_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0010.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0015,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827229,20755777,15,preserve3_term_zenotravel_on_learning_curve,FAILED,00:12:37,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827229_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0015.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0020,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827230,20755777,20,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:12:55,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827230_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0020.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0025,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827231,20755777,25,preserve3_term_zenotravel_on_learning_curve,FAILED,00:12:37,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827231_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0025.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0030,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827232,20755777,30,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:09:28,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827232_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0030.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0035,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827234,20755777,35,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:09:36,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827234_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0035.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0040,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827235,20755777,40,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:10:58,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827235_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0040.txt
,preserve3-term-zenotravel-on-534933607-a0p3-policy-e0045,zenotravel,stage2,on,534933607,pw_kmin3,,,,20827236,20755777,45,preserve3_term_zenotravel_on_learning_curve,COMPLETED,00:10:36,20.0,20,/home/hersco/training_new_domains/2026-09-01/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/zenotravel_on_zenotravel/20827236_Ev_zenotravel_zenotravel_mcts_orig_vh_c.1_s534933607_K0_P3T_zenotravel_on_src20755777_e0045.txt
