experiment_id,domain,value_head,seed,seed_role,stage1_final_score,stage2_selected_score,paired_change,stage2_selected_epoch,stage1_checkpoint,stage2_checkpoint,stage1_training_log,stage1_evaluation_log,stage2_training_job_id,stage2_evaluation_job_id,stage2_evaluation_log
PRESERVE-3-TERM,delivery,off,534933607,held_out,19,15.0,-4.0,35,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:22:31.723148/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911576-3c74d66/snapshots/snapshot_53_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:18.209985/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-3c74d66/snapshots/snapshot_35_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522935_Tr_delivery_delivery_orig_novh_c.1_s534933607__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544473_Ev_delivery_delivery_orig_novh_c.1_s534933607_CD4P_src20522935_e0053.txt,20755719,20859895,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859895_Ev_delivery_delivery_mcts_orig_novh_c.1_s534933607_K0_P3T_delivery_off_src20755719_e0035.txt
PRESERVE-3-TERM,delivery,off,923500475,held_out,19,12.0,-7.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:30:30.692412/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911584-5194f74/snapshots/snapshot_55_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:37:17.061942/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920231-5194f74/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522942_Tr_delivery_delivery_orig_novh_c.1_s923500475__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541044_Ev_delivery_delivery_orig_novh_c.1_s923500475_CD4P_src20522942_e0055.txt,20755720,20859924,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859924_Ev_delivery_delivery_mcts_orig_novh_c.1_s923500475_K0_P3T_delivery_off_src20755720_e0000.txt
PRESERVE-3-TERM,delivery,off,1073581256,held_out,18,20.0,2.0,1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:46:21.540438/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911540-1247c09/snapshots/snapshot_97_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:38:18.387683/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920232-1247c09/snapshots/snapshot_1_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522926_Tr_delivery_delivery_orig_novh_c.1_s1073581256__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20559360_Ev_delivery_delivery_orig_novh_c.1_s1073581256_CD4P_src20522926_e0097.txt,20755721,20859967,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20859967_Ev_delivery_delivery_mcts_orig_novh_c.1_s1073581256_K0_P3T_delivery_off_src20755721_e0001.txt
PRESERVE-3-TERM,delivery,off,1239739722,held_out,15,12.0,-3.0,11,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:00:50.587504/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911555-7d9a779/snapshots/snapshot_64_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-09-02T06:23:01.194434/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04923457-7d9a779/snapshots/snapshot_11_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522929_Tr_delivery_delivery_orig_novh_c.1_s1239739722__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553510_Ev_delivery_delivery_orig_novh_c.1_s1239739722_CD4P_src20522929_e0064.txt,20834986,20860016,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860016_Ev_delivery_delivery_mcts_orig_novh_c.1_s1239739722_K0_P3T_delivery_off_src20834986_e0011.txt
PRESERVE-3-TERM,delivery,off,1472491096,held_out,9,17.0,8.0,9,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:14:32.372361/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911568-43e0a7a/snapshots/snapshot_63_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:40:28.157275/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920234-43e0a7a/snapshots/snapshot_9_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522932_Tr_delivery_delivery_orig_novh_c.1_s1472491096__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20553525_Ev_delivery_delivery_orig_novh_c.1_s1472491096_CD4P_src20522932_e0063.txt,20755723,20892673,/home/hersco/training_new_domains/2026-09-03/preserve4_delivery_stage2_policy_eval/20892673_Ev_delivery_delivery_mcts_orig_novh_c.1_s1472491096_K0_P4DELIVERYS2P_src20755723_e0009.txt
PRESERVE-3-TERM,delivery,off,1510771779,held_out,16,17.0,1.0,40,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:28:51.102737/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911582-17cc32a/snapshots/snapshot_57_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:40:28.157206/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920234-17cc32a/snapshots/snapshot_40_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522939_Tr_delivery_delivery_orig_novh_c.1_s1510771779__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546044_Ev_delivery_delivery_orig_novh_c.1_s1510771779_CD4P_src20522939_e0057.txt,20755725,20860080,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860080_Ev_delivery_delivery_mcts_orig_novh_c.1_s1510771779_K0_P3T_delivery_off_src20755725_e0040.txt
PRESERVE-3-TERM,delivery,off,1963100312,tuning,9,20.0,11.0,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:21:11.682972/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911515-2fc32f3/snapshots/snapshot_68_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:41:24.028012/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920235-2fc32f3/snapshots/snapshot_20_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522923_Tr_delivery_delivery_orig_novh_c.1_s1963100312__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20546019_Ev_delivery_delivery_orig_novh_c.1_s1963100312_CD4P_src20522923_e0068.txt,20755726,20860115,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860115_Ev_delivery_delivery_mcts_orig_novh_c.1_s1963100312_K0_P3T_delivery_off_src20755726_e0020.txt
PRESERVE-3-TERM,delivery,off,1972442430,held_out,9,11.0,2.0,35,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:30:30.692405/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911584-72aea46/snapshots/snapshot_52_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:42:02.290003/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920236-72aea46/snapshots/snapshot_35_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522945_Tr_delivery_delivery_orig_novh_c.1_s1972442430__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541055_Ev_delivery_delivery_orig_novh_c.1_s1972442430_CD4P_src20522945_e0052.txt,20755727,20860163,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860163_Ev_delivery_delivery_mcts_orig_novh_c.1_s1972442430_K0_P3T_delivery_off_src20755727_e0035.txt
PRESERVE-3-TERM,delivery,off,2011206605,tuning,16,18.0,2.0,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-24T23:39:21.083487/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911533-067843/snapshots/snapshot_52_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:43:05.949584/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920237-067843/snapshots/snapshot_20_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522924_Tr_delivery_delivery_orig_novh_c.1_s2011206605__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20544461_Ev_delivery_delivery_orig_novh_c.1_s2011206605_CD4P_src20522924_e0052.txt,20755728,20860199,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860199_Ev_delivery_delivery_mcts_orig_novh_c.1_s2011206605_K0_P3T_delivery_off_src20755728_e0020.txt
PRESERVE-3-TERM,delivery,off,2082152039,held_out,11,12.0,1.0,0,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery-2026-08-25T00:28:22.773562/P[domain,prob01,prob02,prob03,prob04]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04911582-faf7d6/snapshots/snapshot_60_0.750","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-31T00:44:12.364538/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04920238-faf7d6/snapshots/snapshot_0_1.0000",/home/hersco/training_new_domains/2026-08-24/completed_domains_stage1_10seed/20522937_Tr_delivery_delivery_orig_novh_c.1_s2082152039__CD4S1.txt,/home/hersco/training_new_domains/2026-08-25/completed_domains_stage1_policy_eval/20541033_Ev_delivery_delivery_orig_novh_c.1_s2082152039_CD4P_src20522937_e0060.txt,20755729,20860233,/home/hersco/training_new_domains/2026-09-02/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_stage2/policy_eval/delivery_off_delivery/20860233_Ev_delivery_delivery_mcts_orig_novh_c.1_s2082152039_K0_P3T_delivery_off_src20755729_e0000.txt
