experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-tpp-off-534933607-a3-policy-e0000,tpp,stage2,off,534933607,pw_kmin3,,,,20890669,20755741,0,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:41:12,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890669_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0000.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0005,tpp,stage2,off,534933607,pw_kmin3,,,,20890670,20755741,5,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:37:50,1.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890670_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0005.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0010,tpp,stage2,off,534933607,pw_kmin3,,,,20890671,20755741,10,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:43:56,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890671_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0010.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0015,tpp,stage2,off,534933607,pw_kmin3,,,,20890672,20755741,15,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:43:28,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890672_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0015.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0020,tpp,stage2,off,534933607,pw_kmin3,,,,20890673,20755741,20,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:44:30,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890673_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0020.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0025,tpp,stage2,off,534933607,pw_kmin3,,,,20890674,20755741,25,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:44:18,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890674_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0025.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0030,tpp,stage2,off,534933607,pw_kmin3,,,,20890675,20755741,30,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:43:22,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890675_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0030.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0035,tpp,stage2,off,534933607,pw_kmin3,,,,20890676,20755741,35,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:38:09,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890676_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0035.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0040,tpp,stage2,off,534933607,pw_kmin3,,,,20890678,20755741,40,preserve3_terminal_tpp_off_learning_curve,COMPLETED,01:06:15,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890678_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0040.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0045,tpp,stage2,off,534933607,pw_kmin3,,,,20890679,20755741,45,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:59:08,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890679_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0045.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0050,tpp,stage2,off,534933607,pw_kmin3,,,,20890680,20755741,50,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:45:19,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890680_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0050.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0055,tpp,stage2,off,534933607,pw_kmin3,,,,20890681,20755741,55,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:39:20,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890681_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0055.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0060,tpp,stage2,off,534933607,pw_kmin3,,,,20890682,20755741,60,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:38:38,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890682_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0060.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0065,tpp,stage2,off,534933607,pw_kmin3,,,,20890683,20755741,65,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:39:26,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890683_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0065.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0070,tpp,stage2,off,534933607,pw_kmin3,,,,20890684,20755741,70,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:39:38,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890684_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0070.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0075,tpp,stage2,off,534933607,pw_kmin3,,,,20890685,20755741,75,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:38:59,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890685_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0075.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0080,tpp,stage2,off,534933607,pw_kmin3,,,,20890686,20755741,80,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:56:24,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890686_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0080.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0085,tpp,stage2,off,534933607,pw_kmin3,,,,20890689,20755741,85,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:45:28,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890689_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0085.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0090,tpp,stage2,off,534933607,pw_kmin3,,,,20890690,20755741,90,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_validation_selected_policy,FAILED,00:02:38,,,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890690_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0090.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0095,tpp,stage2,off,534933607,pw_kmin3,,,,20890691,20755741,95,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:54:28,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890691_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0095.txt
,preserve3-term-tpp-off-534933607-a3-policy-e0099,tpp,stage2,off,534933607,pw_kmin3,,,,20890692,20755741,99,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_final_policy,COMPLETED,00:37:27,2.0,20,/home/hersco/training_new_domains/2026-09-03/preserve4_tpp_stage2_policy_eval/20890692_Ev_tpp_tpp_mcts_orig_novh_c.1_s534933607_K0_P4TPPS2P_src20755741_e0099.txt
