experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-tpp-off-1073581256-a3-policy-e0090-node-retry1,tpp,stage2,off,1073581256,pw_kmin3,,,,20944827,20755744,90,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:32:02,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944827_Ev_tpp_tpp_mcts_orig_novh_c.1_s1073581256_K0_P4TPPS2P_src20755744_e0090.txt
,preserve3-term-tpp-off-1073581256-a3-policy-e0099-node-retry1,tpp,stage2,off,1073581256,pw_kmin3,,,,20944828,20755744,99,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_final_policy,COMPLETED,00:07:34,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944828_Ev_tpp_tpp_mcts_orig_novh_c.1_s1073581256_K0_P4TPPS2P_src20755744_e0099.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0010-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944829,20755745,10,preserve3_terminal_tpp_off_learning_curve,RUNNING,00:42:54,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944829_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0010.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0015-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944830,20755745,15,preserve3_terminal_tpp_off_learning_curve,RUNNING,00:42:54,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944830_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0015.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0020-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944831,20755745,20,preserve3_terminal_tpp_off_learning_curve,RUNNING,00:42:54,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944831_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0020.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0025-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944832,20755745,25,preserve3_terminal_tpp_off_learning_curve,RUNNING,00:42:54,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944832_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0025.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0030-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944833,20755745,30,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:42:24,2.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944833_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0030.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0035-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944834,20755745,35,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:39:21,1.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944834_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0035.txt
,preserve3-term-tpp-off-1239739722-a3-policy-e0040-node-retry1,tpp,stage2,off,1239739722,pw_kmin3,,,,20944835,20755745,40,preserve3_terminal_tpp_off_learning_curve,COMPLETED,00:39:18,2.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944835_Ev_tpp_tpp_mcts_orig_novh_c.1_s1239739722_K0_P4TPPS2P_src20755745_e0040.txt
,preserve3-term-tpp-off-1472491096-a3-policy-e0024-node-retry1,tpp,stage2,off,1472491096,pw_kmin3,,,,20944836,20755746,24,preserve3_terminal_tpp_off_learning_curve;preserve3_terminal_tpp_off_validation_selected_policy,COMPLETED,00:06:04,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944836_Ev_tpp_tpp_mcts_orig_novh_c.1_s1472491096_K0_P4TPPS2P_src20755746_e0024.txt
