experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-tpp-on-1239739722-a10-policy-e0095-node-retry1,tpp,stage2,on,1239739722,pw_kmin3,,,,20944505,20755756,95,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:12,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944505_Ev_tpp_tpp_mcts_orig_vh_c.1_s1239739722_K0_P4TPPS2P_src20755756_e0095.txt
,preserve3-term-tpp-on-1239739722-a10-policy-e0096-node-retry1,tpp,stage2,on,1239739722,pw_kmin3,,,,20944506,20755756,96,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,00:06:57,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944506_Ev_tpp_tpp_mcts_orig_vh_c.1_s1239739722_K0_P4TPPS2P_src20755756_e0096.txt
,preserve3-term-tpp-on-1239739722-a10-policy-e0099-node-retry1,tpp,stage2,on,1239739722,pw_kmin3,,,,20944507,20755756,99,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_final_policy,COMPLETED,00:07:03,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944507_Ev_tpp_tpp_mcts_orig_vh_c.1_s1239739722_K0_P4TPPS2P_src20755756_e0099.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0000-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944508,20755757,0,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:50:12,8.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944508_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0000.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0002-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944509,20755757,2,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,00:07:39,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944509_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0002.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0005-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944510,20755757,5,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:54:22,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944510_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0005.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0010-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944511,20755757,10,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:54:22,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944511_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0010.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0090-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944512,20755757,90,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:54:22,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944512_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0090.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0095-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944513,20755757,95,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:54:22,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944513_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0095.txt
,preserve3-term-tpp-on-1472491096-a10-policy-e0099-node-retry1,tpp,stage2,on,1472491096,pw_kmin3,,,,20944514,20755757,99,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_final_policy,RUNNING,00:54:22,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20944514_Ev_tpp_tpp_mcts_orig_vh_c.1_s1472491096_K0_P4TPPS2P_src20755757_e0099.txt
