manifest_id,task_type,domain,value_head,seed,stage,status,teacher,source_checkpoint_ref,source_training_job_id,snapshot_epoch,analysis_roles,training_state,training_log
preserve3-term-tpp-on-534933607-a10-policy-e0000,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_0_1.0000",20755753,0,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0004,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_4_0.6667",20755753,4,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0005,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_5_0.6667",20755753,5,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0010,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_10_0.7500",20755753,10,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0015,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_15_1.0000",20755753,15,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0020,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_20_1.0000",20755753,20,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0025,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_25_0.7500",20755753,25,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0030,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_30_0.7500",20755753,30,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0035,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_35_0.7500",20755753,35,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
preserve3-term-tpp-on-534933607-a10-policy-e0040,policy_eval,tpp,on,534933607,stage2,ready,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.tpp-experiments_numeric.architecture_2.tpp_mcts-2026-08-31T18:35:56.670535/P[domain,pfile1,pfile2,pfile4]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04921310-3c74d66/snapshots/snapshot_40_0.7500",20755753,40,preserve3_terminal_tpp_on_learning_curve,COMPLETED,/home/hersco/training_new_domains/2026-08-31/preserve3_terminal_tpp_stage2/20755753_Re-Tr_tpp_tpp_mcts_orig_vh_e.5_c.1_s534933607_K0_P3TERMS2A10_src20523020.txt
