job_id,job_name,state,elapsed,start,end,node,requested_cpus,requested_memory,classified_instances,success_30m,success_2h,success_6h,success_full_record,ordinary_unsolved,logged_timeouts,latest_eval_final_success,latest_eval_final_total,val_valid,val_invalid,log_path,completion_record_path
20430072,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008,OUT_OF_MEMORY,2-06:08:17,2026-08-21T19:38:30,2026-08-24T01:46:47,ise-cpu256-04,6,120G,9,9,9,9,9,0,18,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430072_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430072.eval_completed.jsonl
20430073,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401229_e0046,OUT_OF_MEMORY,1-23:54:21,2026-08-21T19:54:39,2026-08-23T19:49:00,ise-cpu128-09,6,120G,10,9,10,10,10,0,13,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430073_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401229_e0046.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430073.eval_completed.jsonl
20430074,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022,TIMEOUT,3-00:00:02,2026-08-21T20:01:56,2026-08-24T20:01:58,ise-cpu256-04,6,120G,7,7,7,7,7,0,4,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430074.eval_completed.jsonl
20430082,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401233_e0057,COMPLETED,1-00:19:00,2026-08-21T21:04:07,2026-08-22T21:23:07,ise-cpu256-29,6,120G,8,8,8,8,8,0,12,8.0,20,8,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430082_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401233_e0057.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430082.eval_completed.jsonl
20430085,Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401236_e0014,OUT_OF_MEMORY,1-06:55:25,2026-08-21T23:26:43,2026-08-23T06:22:08,ise-cpu-intl-04,6,120G,9,7,9,9,9,0,11,9.0,20,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430085_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401236_e0014.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430085.eval_completed.jsonl
20430062,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401218_e0011,COMPLETED,1-01:23:58,2026-08-21T13:07:50,2026-08-22T14:31:48,cs-cpu-09,6,120G,8,5,8,8,8,0,12,8.0,20,8,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430062_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401218_e0011.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430062.eval_completed.jsonl
20430063,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401219_e0051,TIMEOUT,3-00:00:01,2026-08-21T13:18:20,2026-08-24T13:18:21,ise-cpu128-05,6,120G,7,7,7,7,7,0,9,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430063_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401219_e0051.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430063.eval_completed.jsonl
20430064,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106,TIMEOUT,3-00:00:09,2026-08-21T13:58:14,2026-08-24T13:58:23,ise-cpu128-01,6,120G,4,4,4,4,4,0,30,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430064.eval_completed.jsonl
20430067,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401223_e0058,TIMEOUT,3-00:00:05,2026-08-21T19:23:52,2026-08-24T19:23:57,ise-cpu128-14,6,120G,4,4,4,4,4,0,23,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430067_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401223_e0058.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430067.eval_completed.jsonl
20430070,Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401226_e0034,TIMEOUT,3-00:00:09,2026-08-21T19:33:48,2026-08-24T19:33:57,ise-cpu256-04,6,120G,4,4,4,4,4,0,23,,,,,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430070_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401226_e0034.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430070.eval_completed.jsonl
20430097,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025,OUT_OF_MEMORY,1-06:36:49,2026-08-22T04:14:09,2026-08-23T10:50:58,ise-cpu256-04,6,120G,5,4,5,5,5,0,14,5.0,20,5,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430097.eval_completed.jsonl
20430098,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044,OUT_OF_MEMORY,1-06:02:07,2026-08-22T04:15:51,2026-08-23T10:17:58,ise-cpu256-06,6,120G,6,4,4,4,4,2,13,4.0,20,4,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430098.eval_completed.jsonl
20430099,Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040,OUT_OF_MEMORY,21:42:53,2026-08-22T04:18:32,2026-08-23T02:01:25,ise-cpu256-02,6,120G,10,6,6,6,6,4,9,6.0,20,6,0,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430099.eval_completed.jsonl
