manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0075,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0075,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_2_0.6667",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 75,20595738,75,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0080,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0080,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_7_0.6667",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 80,20595738,80,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0085,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0085,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_12_1.0000",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 85,20595738,85,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0090,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0090,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_17_0.6667",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 90,20595738,90,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0095,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0095,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_22_0.6667",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 95,20595738,95,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0-stage2-train-policy-e0099,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0099,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:58:43.255366/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914012-2fc32f3/snapshots/snapshot_26_0.6667",0.0003,100,True,0.5,0.1,0,0,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595738; cumulative epoch 99,20595738,99,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-policy-e0070,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0070,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:59:45.968533/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914013-2fc32f3/snapshots/snapshot_4_1.0000",0.0003,100,True,0.5,0.1,0,0.3,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595740; cumulative epoch 70,20595740,70,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-policy-e0075,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0075,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:59:45.968533/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914013-2fc32f3/snapshots/snapshot_9_1.0000",0.0003,100,True,0.5,0.1,0,0.3,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595740; cumulative epoch 75,20595740,75,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-policy-e0080,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0080,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:59:45.968533/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914013-2fc32f3/snapshots/snapshot_14_1.0000",0.0003,100,True,0.5,0.1,0,0.3,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595740; cumulative epoch 80,20595740,80,cd4_stage2_anchor_tuning_policy_curve
cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-policy-e0085,completed-domains-anchor-tuning,1963100312,delivery,Delivery,on,preservation-followup,policy_eval,stage2,anchor_curve_epoch_0085,experiments_numeric.architecture_2.delivery_mcts,hadd-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.delivery-experiments_numeric.architecture_2.delivery_mcts-2026-08-26T16:59:45.968533/P[domain,prob01,prob02,prob03,prob04]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04914013-2fc32f3/snapshots/snapshot_19_1.0000",0.0003,100,True,0.5,0.1,0,0.3,20,0,10,4g,6,20G,04:00:00,,VAL,cd4-anchor-delivery-on-1963100312-a0p3-stage2-train-quota-cont,every-five anchor-tuning learning curve; cumulative continuation epoch,ready,Policy-only evaluation for anchor AUC; continuation job 20595740; cumulative epoch 85,20595740,85,cd4_stage2_anchor_tuning_policy_curve
